Start Time,Tue Nov 22 09-26-31 2011,Offset,09:26:32 minus 394 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 5, 6, 6, 17, 7, 0, 0, 1, 5680, 85, 2534,
001,2,2, 9, 3, 5, 17, 17, 1, 0, 2, 11353, 1669, 2286,
001,2,3, 7, 3, 4, 14, 14, 1, 0, 2, 17026, 1229, 1661,
001,2,4, 7, 5, 7, 19, 19, 1, 0, 2, 22699, 2364, 2868,
001,2,5, 9, 3, 3, 15, 15, 1, 0, 2, 28372, 1891, 2339,
001,2,6, 3, 1, 2, 6, 6, 1, 0, 1, 34044, 1420, 1667,
001,2,7, 3, 1, 7, 11, 11, 1, 0, 2, 39715, 1581, 1901,
001,2,8, 2, 6, 1, 9, 9, 1, 0, 1, 45386, 1581, 1806,
001,2,9, 1, 4, 8, 13, 13, 1, 0, 2, 51055, 1577, 2145,
001,2,10, 4, 8, 4, 16, 16, 1, 0, 2, 56726, 1578, 1947,
001,2,11, 4, 9, 6, 19, 19, 1, 0, 2, 62399, 1609, 2081,
001,2,12, 8, 3, 3, 14, 14, 1, 0, 2, 68071, 1616, 2009,
001,2,13, 3, 5, 1, 9, 9, 1, 0, 1, 73743, 1425, 1658,
001,2,14, 1, 7, 8, 16, 16, 1, 0, 2, 79364, 1612, 2044,
001,2,15, 6, 7, 8, 21, 21, 1, 0, 2, 85036, 1645, 1989,
001,2,16, 6, 4, 7, 17, 17, 1, 0, 2, 90708, 1302, 1933,
001,2,17, 8, 7, 8, 23, 23, 1, 0, 2, 96380, 1684, 2364,
001,2,18, 2, 6, 6, 14, 14, 1, 0, 2, 102053, 1372, 1788,
001,2,19, 2, 2, 1, 5, 5, 1, 0, 1, 107725, 1308, 1547,
001,2,20, 1, 1, 5, 7, 7, 1, 0, 1, 113398, 1636, 1924,
001,2,21, 9, 7, 3, 19, 19, 1, 0, 2, 119069, 2341, 2700,
001,2,22, 1, 3, 5, 9, 9, 1, 0, 1, 124743, 1987, 2283,
001,2,23, 8, 6, 8, 22, 22, 1, 0, 2, 130415, 1690, 2163,
001,2,24, 1, 9, 5, 15, 15, 1, 0, 2, 136088, 1706, 1987,
001,2,25, 5, 7, 8, 20, 20, 1, 0, 2, 141761, 1561, 1874,
001,2,26, 4, 5, 1, 10, 12, 0, 0, 3, 147433, 1417, 4329,
001,2,27, 1, 3, 7, 11, 11, 1, 0, 2, 153105, 1642, 1962,
001,2,28, 8, 8, 7, 23, 23, 1, 0, 2, 158777, 2105, 2323,
001,2,29, 2, 4, 2, 8, 8, 1, 0, 1, 164450, 2161, 2361,
001,2,30, 1, 5, 2, 8, 8, 1, 0, 1, 170121, 1897, 2154,
001,2,31, 1, 2, 9, 12, 12, 1, 0, 2, 175792, 2339, 2628,
001,2,32, 8, 5, 9, 22, 22, 1, 0, 2, 181465, 3057, 3346,
001,2,33, 7, 9, 6, 22, 2, 0, 0, 1, 187137, 1978, 2235,
001,2,34, 2, 3, 7, 12, 12, 1, 0, 2, 192809, 1259, 1611,
001,2,35, 2, 7, 9, 18, 18, 1, 0, 2, 198482, 1745, 2218,
001,2,36, 8, 5, 7, 20, 20, 1, 0, 2, 204155, 2384, 2682,
