"Start Time","Tue Nov 22 09:54:37 2011","09:54:36 minus 485 ms","Subject","001","Target Distance",225,"Radius",37.5

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
5270,240,459,993,273,476,0,37.1214
6838,399,525,959,381,540,1,23.4307
8541,240,140,1178,227,152,1,17.6918
10463,240,459,2005,231,469,1,13.4536
13210,559,459,1351,538,429,0,36.6197
15622,399,525,961,400,512,1,13.0384
17326,400,75,1543,398,110,0,35.0571
19446,399,525,1186,410,548,1,25.4951
21374,240,459,1009,231,476,1,19.2354
23125,175,299,1589,166,300,1,9.05539
25457,559,459,1322,543,452,1,17.4642
28006,625,300,1425,629,300,1,4
30660,240,140,1644,231,152,1,15
33047,399,525,1432,417,512,1,22.2036
36128,559,459,1056,567,493,0,34.9285
37760,625,300,1348,633,300,1,8
39846,559,140,1226,555,141,1,4.12311
41815,240,140,1193,250,173,0,34.4819
43583,240,459,1254,238,476,1,17.1172
45580,559,459,939,531,476,0,32.7567
47096,240,140,1206,231,148,1,12.0416
49043,559,459,2027,555,440,1,19.4165
52292,625,300,1336,610,300,1,15
55110,240,140,1028,227,152,1,17.6918
56881,559,140,1109,550,127,1,15.8114
58733,175,299,1240,166,338,0,40.025
60551,399,525,973,400,512,1,13.0384
62265,559,140,1084,543,141,1,16.0312
64092,175,299,1144,166,300,1,9.05539
65974,399,525,1138,398,524,1,1.41421
67849,559,459,996,538,452,1,22.1359
69588,625,300,1363,629,298,1,4.47214
71694,399,525,776,405,536,1,12.53
73212,400,75,1090,398,68,1,7.28011
75045,625,300,890,621,302,1,4.47214
76679,399,525,959,410,536,1,15.5563
78382,625,300,1327,633,298,1,8.24621
80450,400,75,1263,400,73,1,2
82456,240,140,1745,231,141,1,9.05539
84942,400,75,1043,398,84,1,9.21954
86722,175,299,1371,166,298,1,9.05539
89823,559,459,1186,543,457,1,16.1245
91752,399,525,973,400,524,1,1.41421
93469,559,459,1017,538,452,1,22.1359
95228,625,300,1186,629,298,1,4.47214
97158,559,459,1002,555,445,1,14.5602
98903,625,300,1235,633,300,1,8
100881,240,459,1512,238,421,0,38.0526
103456,400,75,1753,398,59,1,16.1245
105952,559,459,1207,531,445,1,31.305
107902,559,140,1137,543,141,1,16.0312
109782,625,300,898,621,288,1,12.6491
111422,559,140,1172,550,148,1,12.0416
114323,399,525,1227,400,536,1,11.0454
116292,175,299,2026,166,300,1,9.05539
119061,559,459,1221,543,445,1,21.2603
121600,240,459,1618,220,469,1,22.3607
123961,175,299,1021,166,300,1,9.05539
125720,400,75,1301,398,89,1,14.1421
127764,240,140,1000,238,157,1,17.1172
129508,175,299,939,184,300,1,9.05539
131190,559,140,1023,550,136,1,9.84886
132957,240,140,1131,243,162,1,22.2036
134831,625,300,803,629,300,1,4
136377,559,140,926,543,141,1,16.0312
138045,625,300,762,633,284,1,17.8885
139550,399,525,954,400,524,1,1.41421
141246,240,459,1185,238,469,1,10.198
143175,175,299,1369,189,300,1,14.0357
146106,399,525,864,400,524,1,1.41421
147712,559,140,1275,543,131,1,18.3576
149724,240,140,1084,231,148,1,12.0416
151551,399,525,912,410,529,1,11.7047
153689,625,300,879,633,298,1,8.24621
156042,240,459,1172,266,433,0,36.7696
158685,400,75,1056,400,68,1,7
161133,559,140,844,538,141,1,21.0238
162720,559,459,966,531,481,0,35.609
164749,175,299,1493,149,298,1,26.0192
166985,400,75,1105,398,84,1,9.21954
168833,559,459,880,550,469,1,13.4536
170456,400,75,857,398,80,1,5.38516
172056,559,140,851,543,141,1,16.0312
173650,175,299,1030,166,302,1,9.48683
175423,559,459,1330,562,464,1,5.83095
177496,240,459,1391,231,440,1,21.0238
179628,399,525,863,400,529,1,4.12311
181234,400,75,1234,400,80,1,5
183209,559,140,1384,543,141,1,16.0312
