"Start Time","Thu Nov 24 15:11:49 2011","15:11:48 minus 1211 ms","Subject","001","Target Distance",225,"Radius",37.5

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
5653,240,459,1481,243,457,1,3.60555
7875,399,525,939,400,510,1,15.0333
9559,240,140,878,250,148,1,12.8062
11179,240,459,798,234,448,1,12.53
12717,559,459,1015,550,467,1,12.0416
14472,399,525,751,388,533,1,13.6015
15967,400,75,878,400,84,1,9
17585,399,525,741,384,545,1,25
19069,240,459,715,243,467,1,8.544
20522,175,299,899,180,300,1,5.09902
22161,559,459,966,543,462,1,16.2788
23869,625,300,946,610,300,1,15
25555,240,140,870,297,148,0,57.5587
27002,399,525,598,400,505,1,20.025
28341,559,459,811,555,483,1,24.3311
29892,625,300,802,610,300,1,15
31437,559,140,843,543,157,1,23.3452
33021,240,140,708,250,164,1,26
34468,240,459,657,238,474,1,15.1327
35868,559,459,934,555,448,1,11.7047
37541,240,140,675,250,141,1,10.0499
38960,559,459,605,562,448,1,11.4018
40303,625,300,527,633,293,1,10.6301
41573,240,140,570,238,117,1,23.0868
42883,559,140,604,555,112,1,28.2843
44228,175,299,638,168,350,0,51.4782
45438,399,525,504,377,498,0,34.8281
46520,559,140,515,543,129,1,19.4165
47778,175,299,489,126,300,0,49.0102
48843,399,525,513,405,510,1,16.1555
50096,559,459,543,562,479,1,20.2237
51382,625,300,509,621,298,1,4.47214
52628,399,525,481,398,571,0,46.0109
53687,400,75,488,388,136,0,62.1691
55403,625,300,558,617,298,1,8.24621
56698,399,525,494,398,514,1,11.0454
57935,625,300,570,629,298,1,4.47214
59244,400,75,577,398,73,1,2.82843
60563,240,140,621,238,124,1,16.1245
61925,400,75,597,400,40,0,35
63095,175,299,726,142,298,0,33.0151
64393,559,459,697,543,421,0,41.2311
65662,399,525,625,410,505,1,22.8254
67029,559,459,529,555,448,1,11.7047
68295,625,300,679,581,300,0,44
69551,559,459,583,555,448,1,11.7047
70875,625,300,639,664,300,0,39
72088,240,459,1042,255,462,1,15.2971
73868,400,75,565,400,89,1,14
75175,559,459,863,550,467,1,12.0416
77513,559,140,591,617,112,0,64.405
78678,625,300,645,621,300,1,4
80064,559,140,796,538,169,0,35.805
82006,399,525,1514,400,483,0,42.0119
84580,175,299,611,175,298,1,1
85931,559,459,651,507,436,0,56.8595
87159,240,459,632,227,457,1,13.1529
88532,175,299,703,168,300,1,7.07107
89977,400,75,597,398,108,0,33.0606
91149,240,140,619,255,129,1,18.6011
92507,175,299,669,130,298,0,45.0111
93751,559,140,721,526,152,0,35.1141
95048,240,140,632,234,136,1,7.2111
96424,625,300,804,671,310,0,47.0744
97804,559,140,638,555,148,1,8.94427
99184,625,300,727,617,298,1,8.24621
100655,399,525,865,400,505,1,20.025
102262,240,459,878,238,483,1,24.0832
103878,175,299,636,175,310,1,11
105256,399,525,618,400,510,1,15.0333
106610,559,140,919,555,141,1,4.12311
108270,240,140,742,264,157,1,29.4109
109753,399,525,892,400,505,1,20.025
111386,625,300,790,633,298,1,8.24621
112920,240,459,633,184,474,0,57.9741
114130,400,75,768,388,84,1,15
116293,559,140,700,543,112,1,32.249
117732,559,459,803,550,448,1,14.2127
119277,175,299,770,163,302,1,12.3693
120786,400,75,830,400,101,1,26
122357,559,459,893,550,467,1,12.0416
123989,400,75,618,417,96,1,27.0185
125349,559,140,727,543,129,1,19.4165
126817,175,299,912,238,298,0,63.0079
128305,559,459,899,555,488,1,29.2746
129943,240,459,891,238,474,1,15.1327
131572,399,525,639,384,505,1,25
132954,400,75,694,400,96,1,21
134388,559,140,640,538,169,0,35.805
136086,240,140,693,264,141,1,24.0208
137520,240,459,1195,243,457,1,3.60555
139458,559,140,718,555,141,1,4.12311
140916,240,459,919,250,417,0,43.1741
142407,400,75,638,400,89,1,14
143783,559,459,904,562,483,1,24.1868
145431,400,75,611,400,61,1,14
146781,240,140,806,234,148,1,10
148329,175,299,714,168,310,1,13.0384
149782,625,300,1374,617,329,1,30.0832
152383,240,459,905,255,448,1,18.6011
154027,400,75,1256,400,80,1,5
156022,240,459,619,238,505,0,46.0435
157218,625,300,1045,629,298,1,4.47214
159002,240,459,680,250,421,0,39.2938
160257,175,299,970,147,310,1,30.0832
162867,240,459,862,234,462,1,6.7082
164467,399,525,767,405,493,0,32.5576
166465,175,299,823,168,298,1,7.07107
168027,400,75,920,384,89,1,21.2603
169685,559,459,1300,562,462,1,4.24264
172537,175,299,692,184,298,1,9.05539
173972,240,140,718,255,152,1,19.2094
175432,175,299,973,184,300,1,9.05539
177145,559,140,810,526,157,0,37.1214
179266,559,459,946,562,467,1,8.544
180951,400,75,870,398,89,1,14.1421
183375,240,459,1056,234,479,1,20.8806
185170,400,75,584,398,73,1,2.82843
