"Start Time","Thu Nov 24 15:15:36 2011","15:15:35 minus 460 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4258,400,75,1144,393,80,1,8.60233
6144,625,300,1063,629,300,1,4
7946,240,459,1093,238,483,0,24.0832
9614,559,140,1015,555,141,1,4.12311
11373,399,525,1479,400,514,1,11.0454
13589,559,140,1190,555,141,1,4.12311
15516,240,140,1273,243,141,1,3.16228
17526,400,75,1095,398,68,1,7.28011
19363,240,140,1300,250,136,1,10.7703
21405,625,300,1274,617,298,1,8.24621
23421,559,140,1339,555,141,1,4.12311
25502,175,299,1180,175,300,1,1
27423,240,459,1368,243,467,1,8.544
29526,559,140,1804,555,148,1,8.94427
32068,240,140,1168,243,141,1,3.16228
33975,559,140,1061,550,136,1,9.84886
35774,240,459,1264,238,467,1,8.24621
37777,399,525,949,400,519,1,6.08276
39463,625,300,1157,617,300,1,8
41361,240,140,1149,255,141,0,15.0333
43087,400,75,894,400,89,0,14
44549,559,140,1335,555,129,1,11.7047
46625,240,140,930,238,141,1,2.23607
48298,240,459,1292,238,467,1,8.24621
50328,559,140,1383,555,136,1,5.65685
52448,400,75,877,400,89,0,14
53902,559,459,1703,555,452,1,8.06226
56346,240,140,1044,250,141,1,10.0499
58132,559,140,1136,550,148,1,12.0416
60006,400,75,1110,393,73,1,7.28011
61855,240,459,1364,238,457,1,2.82843
63959,400,75,1120,398,80,1,5.38516
65817,625,300,1165,610,293,0,16.5529
68038,399,525,1153,400,529,1,4.12311
69930,625,300,797,640,298,0,15.1327
71783,240,459,1345,234,443,0,17.088
74774,400,75,1222,400,80,1,5
76736,625,300,1151,633,300,1,8
78627,400,75,1161,400,84,1,9
80532,559,459,2217,562,443,0,16.2788
83894,625,300,1327,621,300,1,4
85965,559,459,1008,562,462,1,4.24264
87712,625,300,944,660,314,0,37.6962
89233,399,525,840,400,514,1,11.0454
90811,240,459,1979,234,462,1,6.7082
93527,559,459,999,543,457,0,16.1245
95102,400,75,1210,400,84,1,9
97046,240,459,1331,238,467,1,8.24621
99852,240,140,1459,243,141,1,3.16228
102051,175,299,830,184,300,1,9.05539
103621,559,140,1057,555,164,0,24.3311
105254,399,525,904,405,524,1,6.08276
106897,625,300,1006,629,298,1,4.47214
108643,400,75,980,410,73,1,10.198
110365,625,300,1347,605,300,0,20
112288,559,140,868,555,148,1,8.94427
113894,399,525,1209,405,514,1,12.53
115842,559,140,1143,555,136,1,5.65685
117723,400,75,1053,400,73,1,2
119519,559,459,1176,555,462,1,5
121436,240,459,1690,238,467,1,8.24621
123864,625,300,1025,621,298,1,4.47214
125628,175,299,900,168,300,1,7.07107
127270,625,300,1337,633,298,1,8.24621
129344,399,525,1071,398,519,1,6.08276
131156,559,140,1291,555,148,1,8.94427
133183,240,459,1105,250,462,1,10.4403
135762,559,459,1487,550,457,1,9.21954
137991,175,299,1011,196,298,0,21.0238
139579,399,525,1219,388,529,1,11.7047
141541,559,459,916,550,467,1,12.0416
143197,559,140,1610,555,148,1,8.94427
145548,400,75,1798,400,84,1,9
148086,240,140,1089,243,141,1,3.16228
149915,625,300,1207,629,302,1,4.47214
151861,400,75,1202,398,73,1,2.82843
153801,240,459,1217,243,467,1,8.544
155756,240,140,1036,243,141,1,3.16228
157535,175,299,1113,180,302,1,5.83095
159390,240,459,2050,250,443,0,18.868
162497,175,299,1309,168,300,1,7.07107
164544,240,140,1337,234,141,1,6.08276
166624,399,525,922,400,529,1,4.12311
168288,240,140,989,238,136,1,4.47214
170015,400,75,1465,398,80,1,5.38516
172216,559,459,1207,562,467,1,8.544
174166,559,140,1297,562,141,1,3.16228
176931,240,459,1341,243,443,0,16.2788
178842,400,75,1129,393,80,1,8.60233
180710,559,140,1158,555,136,1,5.65685
182611,400,75,982,400,84,1,9
