"Start Time","Fri Nov 25 08:52:12 2011","08:52:11 minus 322 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
6392,"canvas",0,2405,"<timeout>",1
8801,"whiskey",0,688,"3",1
11210,"whiskey",1,517,"1",1
13620,"bunny",0,645,"3",1
16030,"tomato",0,682,"1",0
18440,"gale",0,703,"3",1
20850,"gale",1,702,"1",1
23261,"tomato",0,1138,"3",1
25671,"canvas",0,969,"3",1
28081,"canvas",1,743,"1",1
30490,"canvas",1,781,"1",1
32899,"hollow",0,677,"3",1
35308,"canvas",0,1100,"3",1
37719,"bottle",0,921,"3",1
40129,"whiskey",0,823,"3",1
42538,"whiskey",1,926,"1",1
44948,"tomato",0,788,"3",1
47357,"flag",0,843,"3",1
49766,"flag",1,867,"1",1
52176,"gale",0,747,"3",1
54585,"bottle",0,712,"3",1
56994,"flag",0,807,"3",1
59404,"bottle",0,925,"3",1
61813,"canvas",0,707,"3",1
64221,"bunny",0,812,"3",1
66631,"canvas",0,786,"3",1
69040,"bunny",0,705,"3",1
71450,"gale",0,720,"3",1
73859,"bunny",0,742,"3",1
76269,"bunny",1,881,"3",0
78680,"hollow",0,1002,"3",1
81090,"bottle",0,743,"3",1
83499,"bottle",1,687,"1",1
85908,"flag",0,654,"3",1
88317,"bottle",0,821,"3",1
90726,"bottle",1,1755,"3",0
93136,"hollow",0,1290,"3",1
95545,"gale",0,785,"3",1
97955,"gale",1,807,"1",1
100365,"gale",1,749,"1",1
102775,"tomato",0,588,"3",1
105184,"flag",0,690,"3",1
107595,"flag",1,759,"1",1
110005,"gale",0,621,"3",1
112415,"hollow",0,555,"3",1
114826,"hollow",1,648,"1",1
117236,"flag",0,534,"3",1
119644,"canvas",0,838,"3",1
122055,"flag",0,731,"3",1
124464,"flag",1,682,"1",1
126872,"tomato",0,1186,"3",1
129281,"whiskey",0,793,"3",1
131690,"bunny",0,737,"3",1
134100,"whiskey",0,783,"3",1
136510,"gale",0,1365,"3",1
138920,"tomato",0,779,"3",1
141330,"tomato",1,793,"1",1
143741,"tomato",1,559,"1",1
146151,"tomato",1,524,"1",1
148560,"hollow",0,652,"3",1
150970,"hollow",1,713,"1",1
153379,"hollow",1,745,"1",1
155788,"whiskey",0,669,"3",1
158196,"whiskey",1,664,"1",1
160606,"bottle",0,555,"3",1
163016,"bottle",1,675,"1",1
165426,"hollow",0,994,"3",1
167836,"whiskey",0,762,"3",1
170245,"bunny",0,1207,"3",1
172655,"bunny",1,757,"1",1
175064,"bunny",1,676,"1",1
177474,"canvas",0,746,"3",1
179884,"canvas",1,768,"1",1
182293,"canvas",1,791,"1",1
184703,"whiskey",0,677,"3",1
