"Start Time","Fri Nov 25 09:09:00 2011","09:08:59 minus 684 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
5129,400,75,1667,400,89,0,14
7942,625,300,1520,621,300,1,4
10200,240,459,1831,231,452,1,11.4018
12772,559,140,1675,550,138,1,9.21954
15184,399,525,1429,410,524,1,11.0454
17352,559,140,1775,562,155,0,15.2971
20186,240,140,2251,238,143,1,3.60555
23179,400,75,2788,381,66,0,21.0238
27280,240,140,1595,243,131,1,9.48683
29613,625,300,2343,629,300,1,4
32696,559,140,1679,562,138,1,3.60555
35112,175,299,1579,208,302,0,33.1361
37751,240,459,2302,231,452,1,11.4018
40795,559,140,1694,555,138,1,4.47214
43225,240,140,2064,243,138,1,3.60555
46031,559,140,1686,555,138,1,4.47214
48455,240,459,4056,231,476,0,19.2354
53572,399,525,1505,398,517,1,8.06226
55818,625,300,1298,629,300,1,4
57855,240,140,1632,238,138,1,2.82843
60224,400,75,2600,400,73,1,2
63565,559,140,2025,543,150,0,18.868
66730,240,140,2327,238,131,1,9.21954
69798,240,459,2104,238,452,1,7.28011
72641,559,140,3692,555,138,1,4.47214
77075,400,75,1758,393,77,1,7.28011
79572,559,459,3074,562,464,1,5.83095
83387,240,140,1988,238,143,1,3.60555
86112,559,140,2153,562,143,1,4.24264
89006,400,75,1460,398,73,1,2.82843
91204,240,459,2654,238,452,1,7.28011
94601,400,75,1535,400,73,1,2
96876,625,300,1858,621,300,1,4
99468,399,525,1690,398,517,1,8.06226
101897,625,300,1776,617,300,1,8
104983,240,459,2159,231,452,1,11.4018
107882,400,75,1635,400,73,1,2
110256,625,300,1678,621,300,1,4
112673,400,75,1520,398,77,1,2.82843
114932,559,459,1886,562,464,1,5.83095
117551,625,300,1715,621,300,1,4
120007,559,459,2300,555,457,1,4.47214
123044,625,300,1818,621,300,1,4
125600,399,525,1584,400,529,1,4.12311
127923,240,459,1707,243,452,1,7.61577
130368,559,459,1864,555,452,1,8.06226
132972,400,75,2092,393,77,1,7.28011
135803,240,459,2200,238,452,1,7.28011
138743,240,140,1570,238,138,1,2.82843
141051,175,299,1446,173,300,1,2.23607
143236,559,140,2220,550,138,1,9.21954
146198,399,525,1851,400,529,1,4.12311
148789,625,300,1350,621,300,1,4
150879,400,75,1469,398,66,1,9.21954
153086,625,300,1888,621,298,1,4.47214
155714,559,140,1822,555,138,1,4.47214
158275,399,525,2160,398,517,1,8.06226
161176,559,140,1945,555,162,0,22.3607
164266,400,75,1846,400,73,1,2
166854,559,459,2267,555,464,1,6.40312
169861,240,459,2218,238,452,1,7.28011
172820,625,300,1907,621,300,1,4
175464,175,299,1849,177,300,1,2.23607
178054,625,300,1685,610,300,0,15
180886,399,525,2906,400,529,1,4.12311
184529,559,140,2539,555,143,1,5
