Start Time,Fri Nov 25 09-24-06 2011,Offset,09:24:07 minus 763 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 5, 6, 6, 17, 0, 2, 1, 1, 6073, 5003, 5003,
001,2,2, 9, 3, 5, 17, 0, 2, 1, 1, 11753, 5003, 5003,
001,2,3, 7, 3, 4, 14, 17, 2, 1, 3, 17431, 79, 5003,
001,2,4, 7, 5, 7, 19, 0, 2, 1, 1, 23109, 5003, 5003,
001,2,5, 9, 3, 3, 15, 19, 2, 1, 5, 28720, 166, 5003,
001,2,6, 3, 1, 2, 6, 0, 2, 1, 1, 34398, 5003, 5003,
001,2,7, 3, 1, 7, 11, 1, 2, 1, 2, 40076, 4874, 5002,
001,2,8, 2, 6, 1, 9, 0, 2, 1, 1, 45753, 5003, 5003,
001,2,9, 1, 4, 8, 13, 13, 1, 1, 3, 51430, 3552, 5002,
001,2,10, 4, 8, 4, 16, 16, 1, 1, 5, 57109, 2442, 5002,
001,2,11, 4, 9, 6, 19, 0, 2, 1, 1, 62786, 5003, 5003,
001,2,12, 8, 3, 3, 14, 0, 2, 1, 1, 68464, 5002, 5002,
001,2,13, 3, 5, 1, 9, 9, 1, 1, 2, 74142, 3913, 5002,
001,2,14, 1, 7, 8, 16, 16, 1, 1, 3, 79820, 2108, 5003,
001,2,15, 6, 7, 8, 21, 0, 2, 1, 1, 85499, 5004, 5004,
001,2,16, 6, 4, 7, 17, 17, 1, 1, 3, 91177, 4095, 5003,
001,2,17, 8, 7, 8, 23, 0, 2, 1, 1, 96855, 5003, 5003,
001,2,18, 2, 6, 6, 14, 14, 1, 1, 3, 102535, 2680, 5003,
001,2,19, 2, 2, 1, 5, 5, 1, 1, 2, 108213, 1852, 5002,
001,2,20, 1, 1, 5, 7, 7, 1, 1, 2, 113889, 3167, 5002,
001,2,21, 9, 7, 3, 19, 19, 1, 1, 3, 119516, 4636, 5003,
001,2,22, 1, 3, 5, 9, 9, 1, 1, 2, 125194, 4870, 5004,
001,2,23, 8, 6, 8, 22, 0, 2, 1, 1, 130873, 5003, 5003,
001,2,24, 1, 9, 5, 15, 15, 1, 1, 3, 136551, 3650, 5003,
001,2,25, 5, 7, 8, 20, 0, 2, 1, 1, 142230, 5003, 5003,
001,2,26, 4, 5, 1, 10, 10, 1, 1, 3, 147909, 3084, 5004,
001,2,27, 1, 3, 7, 11, 0, 2, 1, 1, 153589, 5002, 5002,
001,2,28, 8, 8, 7, 23, 11, 2, 1, 3, 159267, 142, 5003,
001,2,29, 2, 4, 2, 8, 8, 1, 1, 2, 164945, 3776, 5002,
001,2,30, 1, 5, 2, 8, 8, 1, 1, 2, 170622, 3635, 5002,
001,2,31, 1, 2, 9, 12, 0, 2, 1, 1, 176298, 5001, 5001,
001,2,32, 8, 5, 9, 22, 12, 2, 1, 5, 181976, 99, 5002,
001,2,33, 7, 9, 6, 22, 0, 2, 1, 1, 187652, 5003, 5003,
001,2,34, 2, 3, 7, 12, 0, 2, 1, 1, 193330, 5003, 5003,
001,2,35, 2, 7, 9, 18, 0, 2, 1, 1, 199008, 5003, 5003,
001,2,36, 8, 5, 7, 20, 19, 2, 1, 5, 204688, 3, 5003,
