"Start Time","Fri Nov 25 09:40:04 2011","09:40:03 minus 78 ms","Subject","001","N-back",2

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
7006,"desk",0,2404,"<timeout>",1
9414,"gasoline",0,2404,"<timeout>",1
11822,"gasoline",1,1270,"3",1
14232,"extract",0,2404,"<timeout>",0
16640,"schooner",0,685,"3",1
19049,"extract",2,2405,"<timeout>",0
21458,"extract",1,763,"3",1
23867,"alcohol",0,2404,"<timeout>",0
26275,"brick",0,738,"3",1
28684,"alcohol",2,2405,"<timeout>",0
31092,"extract",0,770,"3",1
33502,"gasoline",0,2404,"<timeout>",0
35910,"extract",2,680,"1",1
38319,"brick",0,2404,"<timeout>",0
40727,"brick",1,810,"3",1
43134,"saddle",0,2405,"<timeout>",0
45542,"brick",2,631,"1",1
47950,"alcohol",0,2404,"<timeout>",0
50357,"brick",2,673,"1",1
52767,"alcohol",2,2405,"<timeout>",0
55175,"extract",0,679,"3",1
57586,"gasoline",0,2404,"<timeout>",0
59994,"brick",0,741,"3",1
62404,"gasoline",2,2404,"<timeout>",0
64811,"brick",2,499,"1",1
67220,"saddle",0,2405,"<timeout>",0
69628,"saddle",1,962,"3",1
72037,"schooner",0,2403,"<timeout>",0
74444,"aunt",0,747,"3",1
76853,"gasoline",0,2404,"<timeout>",0
79261,"aunt",2,473,"1",1
81670,"gasoline",2,2403,"<timeout>",0
84076,"saddle",0,763,"3",1
86484,"gasoline",2,2404,"<timeout>",0
88891,"alcohol",0,867,"3",1
91300,"alcohol",1,2405,"<timeout>",0
93708,"aunt",0,1155,"3",1
96117,"desk",0,2404,"<timeout>",0
98525,"desk",1,826,"3",1
100934,"saddle",0,2405,"<timeout>",0
103342,"desk",2,810,"3",0
105751,"saddle",2,2404,"<timeout>",0
108159,"aunt",0,1064,"3",1
110569,"extract",0,2404,"<timeout>",0
112977,"aunt",2,696,"1",1
115385,"extract",2,2405,"<timeout>",0
117794,"aunt",2,678,"1",1
120203,"desk",0,2404,"<timeout>",0
122610,"extract",0,646,"3",1
125019,"schooner",0,2404,"<timeout>",0
127426,"desk",0,743,"3",1
129836,"alcohol",0,2404,"<timeout>",0
132244,"aunt",0,693,"3",1
134654,"aunt",1,2403,"<timeout>",0
137061,"gasoline",0,764,"3",1
139469,"desk",0,2405,"<timeout>",0
141878,"aunt",0,1738,"3",1
144287,"desk",2,2404,"<timeout>",0
146695,"brick",0,2404,"<timeout>",0
149103,"saddle",0,1153,"3",1
151512,"gasoline",0,2404,"<timeout>",0
153920,"saddle",2,689,"3",0
156330,"schooner",0,2404,"<timeout>",0
158738,"saddle",2,919,"3",0
161146,"schooner",2,2404,"<timeout>",0
163554,"brick",0,1015,"3",1
165963,"schooner",2,2404,"<timeout>",0
168371,"schooner",1,2404,"<timeout>",0
170778,"desk",0,1447,"3",1
173188,"schooner",2,2404,"<timeout>",0
175596,"desk",2,2405,"<timeout>",0
178005,"alcohol",0,725,"3",1
180414,"schooner",0,2404,"<timeout>",0
182822,"alcohol",2,2403,"<timeout>",0
185229,"desk",0,2404,"<timeout>",0
