Start Time,Fri Nov 25 10-22-17 2011,Offset,10:22:18 minus 767 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 8, 3, 3, 14, 7, 2, 1, 2, 18274, 1702, 5002,
001,2,2, 3, 4, 3, 10, 0, 2, 1, 1, 23954, 5003, 5003,
001,2,3, 7, 1, 5, 13, 13, 1, 1, 3, 29599, 3560, 5003,
001,2,4, 1, 4, 5, 10, 10, 1, 1, 3, 35278, 3409, 5003,
001,2,5, 5, 6, 7, 18, 0, 2, 1, 1, 40957, 5003, 5003,
001,2,6, 4, 4, 9, 17, 18, 0, 0, 2, 46635, 13, 4989,
001,2,7, 4, 3, 9, 16, 0, 2, 1, 1, 52306, 5003, 5003,
001,2,8, 9, 1, 1, 11, 6, 0, 0, 1, 57984, 153, 1328,
001,2,9, 4, 9, 9, 22, 0, 2, 1, 1, 63655, 5003, 5003,
001,2,10, 6, 2, 4, 12, 1, 2, 1, 2, 69334, 4891, 5002,
001,2,11, 8, 2, 1, 11, 11, 1, 0, 2, 74960, 3202, 4344,
001,2,12, 9, 1, 3, 13, 13, 1, 0, 2, 80633, 3145, 3721,
001,2,13, 4, 7, 6, 17, 17, 1, 1, 3, 86304, 4378, 5003,
001,2,14, 5, 8, 5, 18, 18, 1, 0, 2, 91982, 2284, 3099,
001,2,15, 7, 1, 5, 13, 13, 1, 0, 2, 97605, 3165, 3726,
001,2,16, 2, 6, 7, 15, 15, 1, 1, 3, 103278, 4363, 5002,
001,2,17, 5, 2, 5, 12, 12, 1, 0, 2, 108956, 1694, 2206,
001,2,18, 5, 3, 1, 9, 9, 1, 0, 1, 114612, 4606, 4951,
001,2,19, 7, 6, 7, 20, 20, 1, 1, 3, 120283, 4518, 5003,
001,2,20, 9, 2, 3, 14, 14, 1, 1, 4, 125962, 4104, 5004,
001,2,21, 2, 6, 6, 14, 14, 1, 0, 2, 131641, 2665, 3353,
001,2,22, 4, 1, 4, 9, 9, 1, 0, 1, 137314, 3161, 3753,
001,2,23, 6, 3, 9, 18, 0, 2, 1, 1, 142986, 5003, 5003,
001,2,24, 8, 9, 2, 19, 0, 2, 1, 1, 148664, 5003, 5003,
001,2,25, 6, 3, 9, 18, 9, 0, 0, 1, 154342, 189, 526,
001,2,26, 9, 4, 7, 20, 0, 2, 1, 1, 160014, 5003, 5003,
001,2,27, 5, 2, 2, 9, 0, 2, 1, 1, 165692, 5003, 5003,
001,2,28, 4, 7, 9, 20, 0, 2, 1, 1, 171371, 5003, 5003,
001,2,29, 3, 4, 5, 12, 12, 1, 1, 3, 177049, 4700, 5002,
001,2,30, 1, 4, 9, 14, 14, 1, 0, 2, 182727, 2021, 2558,
001,2,31, 9, 4, 5, 18, 0, 2, 1, 1, 188401, 5003, 5003,
001,2,32, 7, 7, 8, 22, 8, 0, 0, 1, 194081, 28, 299,
001,2,33, 4, 1, 4, 9, 5, 0, 0, 1, 199751, 2885, 3662,
001,2,34, 2, 6, 4, 12, 1, 2, 1, 2, 205423, 4758, 5002,
001,2,35, 9, 8, 3, 20, 1, 2, 1, 2, 211100, 4880, 5002,
001,2,36, 4, 3, 3, 10, 10, 1, 1, 3, 216777, 3899, 5003,
