"Start Time","Fri Nov 25 10:40:03 2011","10:40:02 minus 523 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4844,240,140,1051,220,239,0,101
6465,625,300,999,610,300,1,15
8206,240,459,2016,220,429,1,36.0555
10964,400,75,1103,381,131,1,59.1354
12815,559,459,1746,555,433,1,26.3059
15297,400,75,841,393,89,1,15.6525
16880,625,300,755,610,286,1,20.5183
18376,559,140,851,526,143,1,33.1361
19969,400,75,665,398,120,1,45.0444
21380,559,459,692,550,445,1,16.6433
22818,400,75,578,398,127,1,52.0384
24143,240,459,1107,327,393,0,109.202
25828,399,525,586,417,564,1,42.9535
27159,400,75,560,386,143,1,69.4262
28466,559,459,639,555,500,1,41.1947
29844,175,299,552,215,314,1,42.72
31139,240,459,639,231,445,1,16.6433
32519,559,459,789,562,493,1,34.1321
34049,625,300,564,629,286,1,14.5602
35360,559,459,533,495,476,1,66.2193
36635,240,140,858,255,162,1,26.6271
38240,625,300,682,605,314,1,24.4131
39671,175,299,517,215,338,1,55.8659
40929,559,140,708,507,150,1,52.9528
42378,400,75,651,381,108,1,38.0789
43773,399,525,487,405,560,1,35.5106
45001,175,299,507,142,300,1,33.0151
46254,399,525,506,400,540,1,15.0333
47502,240,459,538,231,445,1,16.6433
48783,625,300,515,648,300,1,23
50038,400,75,542,393,108,1,33.7343
51325,559,459,436,550,476,1,19.2354
52506,399,525,542,400,600,0,75.0067
53622,240,140,812,255,180,1,42.72
55175,559,140,584,483,138,0,76.0263
56339,399,525,533,398,583,1,58.0086
57614,559,459,878,550,433,1,27.5136
59239,175,299,506,119,362,0,84.2912
60319,240,140,720,255,180,1,42.72
61781,240,459,591,304,500,0,76.0066
62949,625,300,496,640,345,1,47.4342
64190,559,140,550,538,173,1,39.1152
65482,400,75,568,386,115,1,42.3792
66797,559,459,508,531,476,1,32.7567
68052,175,299,491,255,326,0,84.4334
69120,240,459,511,227,421,1,40.1622
70373,559,140,498,538,162,1,30.4138
71617,400,75,576,400,108,1,33
72934,175,299,542,161,362,1,64.5368
74217,559,140,1296,567,143,1,8.544
76255,240,459,558,250,512,1,53.9351
77561,399,525,481,405,560,1,35.5106
78789,240,459,465,215,500,1,48.0208
79995,559,459,462,531,417,1,50.4777
81202,240,459,762,292,440,1,55.3624
82707,625,300,485,562,357,0,84.9588
83770,240,459,515,231,417,1,42.9535
85031,240,140,617,238,166,1,26.0768
86384,625,300,462,621,333,1,33.2415
87591,559,459,586,538,421,1,43.4166
88918,625,300,532,621,298,1,4.47214
90198,240,140,630,273,166,1,42.0119
91572,399,525,473,433,571,1,57.2014
92786,240,140,779,215,180,1,47.1699
94312,559,140,560,507,120,1,55.7136
95619,175,299,766,189,362,1,64.5368
97127,625,300,497,610,293,1,16.5529
98368,399,525,551,400,500,1,25.02
100315,400,75,951,398,101,1,26.0768
102008,240,459,635,231,433,1,27.5136
103384,625,300,718,633,258,1,42.7551
104844,175,299,556,154,350,1,55.1543
106144,559,140,605,500,155,1,60.8769
107496,559,459,1118,543,429,1,34
109355,400,75,771,398,120,1,45.0444
110867,559,459,872,543,445,1,21.2603
112484,240,459,842,215,488,1,38.2884
115303,399,525,590,400,540,1,15.0333
116635,625,300,585,617,293,1,10.6301
117966,240,140,1297,327,162,0,89.7385
119838,240,459,946,266,500,1,48.5489
121532,559,140,994,538,166,1,33.4215
123267,399,525,665,417,476,1,52.2015
125161,625,300,687,621,293,1,8.06226
127334,400,75,1335,398,108,1,33.0606
129414,625,300,532,531,293,0,94.2603
130523,175,299,858,189,286,1,19.105
132783,240,459,1121,227,421,1,40.1622
134645,559,140,794,543,192,1,54.4059
136185,399,525,532,398,536,1,11.0454
137458,400,75,739,398,96,1,21.095
138939,559,459,829,526,386,0,80.1124
141745,559,140,698,507,166,1,58.1378
143188,240,140,752,250,127,1,16.4012
144686,399,525,560,400,500,1,25.02
145988,240,140,893,243,131,1,9.48683
147626,399,525,619,400,529,1,4.12311
148989,559,459,841,531,393,0,71.6938
150405,175,299,774,184,326,1,28.4605
151915,559,140,771,507,155,1,54.1202
153430,240,140,1082,309,173,0,76.4853
155090,399,525,737,417,457,0,70.342
156403,240,459,621,201,433,1,46.8722
158593,175,299,788,196,357,1,61.6847
160124,625,300,783,621,246,1,54.1479
161654,559,140,874,526,162,1,39.6611
163273,400,75,691,393,115,1,40.6079
164710,240,140,754,266,143,1,26.1725
166210,400,75,690,386,84,1,16.6433
167646,559,140,860,538,108,1,38.2753
169255,175,299,638,177,300,1,2.23607
170635,400,75,632,410,120,1,46.0977
172013,399,525,832,405,505,1,20.8806
173588,240,140,697,231,150,1,13.4536
175027,625,300,703,629,246,1,54.1479
176477,559,459,779,507,417,1,66.8431
177998,240,459,797,208,417,1,52.8015
180278,240,140,883,250,166,1,27.8568
181905,400,75,638,381,108,1,38.0789
183288,240,459,884,273,433,1,42.0119
