"Start Time","Fri Nov 25 10:43:38 2011","10:43:37 minus 558 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
6502,240,459,2191,220,445,0,24.4131
10013,399,525,988,398,517,1,8.06226
11740,240,140,1645,243,150,1,10.4403
14690,240,459,1322,266,476,0,31.0644
16586,559,459,1334,550,469,1,13.4536
18663,399,525,754,400,517,1,8.06226
20160,400,75,1375,400,84,1,9
22925,399,525,882,410,524,1,11.0454
24549,240,459,1225,255,481,0,26.6271
26346,175,299,1677,177,300,1,2.23607
28765,559,459,1035,543,445,0,21.2603
30377,625,300,821,617,338,0,38.833
31773,240,140,1832,243,143,1,4.24264
34913,399,525,917,405,536,1,12.53
36569,559,459,1672,550,476,0,19.2354
39300,625,300,876,629,300,1,4
41490,559,140,1758,550,143,1,9.48683
43989,240,140,1386,238,150,1,10.198
46115,240,459,1189,243,476,0,17.2627
47877,559,459,1170,555,469,1,10.7703
50443,240,140,1386,231,150,1,13.4536
52567,559,459,1272,555,476,0,17.4642
54416,625,300,880,598,300,0,27
56356,240,140,1506,243,138,1,3.60555
59260,559,140,1221,550,138,1,9.21954
61214,175,299,1305,184,300,1,9.05539
63256,399,525,811,400,517,1,8.06226
64806,559,140,1265,543,155,0,21.9317
66642,175,299,1084,184,300,1,9.05539
68462,399,525,1001,410,517,1,13.6015
70691,559,459,1179,555,476,0,17.4642
73013,625,300,1082,629,300,1,4
75658,399,525,885,400,524,1,1.41421
77280,400,75,1406,400,77,1,2
79992,625,300,965,629,298,1,4.47214
82346,399,525,1414,386,517,0,15.2643
84335,625,300,980,629,293,1,8.06226
86627,400,75,1296,398,73,1,2.82843
88666,240,140,1573,238,131,1,9.21954
90979,400,75,1133,398,77,1,2.82843
92851,175,299,1876,177,300,1,2.23607
95466,559,459,1888,581,445,0,26.0768
97926,399,525,1281,400,524,1,1.41421
99946,559,459,1127,567,469,1,12.8062
101812,625,300,1828,629,300,1,4
104952,559,459,1385,555,452,1,8.06226
107729,625,300,1360,629,302,1,4.47214
109828,240,459,2741,220,476,0,26.2488
113881,400,75,1312,400,77,1,2
115935,559,459,1401,555,445,0,14.5602
117907,559,140,1590,550,138,1,9.21954
120235,625,300,1758,629,300,1,4
122732,559,140,1269,550,143,1,9.48683
124739,399,525,1321,400,517,1,8.06226
126799,175,299,1667,184,300,1,9.05539
129938,559,459,1752,543,469,0,18.868
132266,240,459,1765,238,464,1,5.38516
135425,175,299,1697,173,300,1,2.23607
137861,400,75,1557,400,73,1,2
140159,240,140,1568,243,143,1,4.24264
142459,175,299,1128,184,302,1,9.48683
144329,559,140,1842,555,143,1,5
146911,240,140,1313,255,138,0,15.1327
148796,625,300,1047,617,298,1,8.24621
151236,559,140,1109,555,138,1,4.47214
153739,625,300,1257,617,286,0,16.1245
155569,399,525,1010,400,536,1,11.0454
157805,240,459,2407,262,464,0,22.561
160787,175,299,1634,208,298,0,33.0151
162994,399,525,1369,400,524,1,1.41421
165103,559,140,1525,555,138,1,4.47214
167364,240,140,2225,231,131,1,12.7279
170330,399,525,1015,400,552,0,27.0185
171920,625,300,1684,633,310,1,12.8062
174343,240,459,1590,243,464,1,5.83095
176672,400,75,1212,405,77,1,5.38516
178622,559,140,2701,555,131,1,9.84886
182549,559,459,1869,555,476,0,17.4642
184994,175,299,843,161,314,0,20.5183
186413,400,75,1055,400,66,1,9
