Start Time,Fri Nov 25 11-13-12 2011,Offset,11:13:13 minus 977 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 95, 73, 87, 255, 353, 0, 0, 3, 8125, 4, 2837,
001,2,2, 54, 11, 39, 104, 10, 2, 1, 3, 18783, 9395, 10003,
001,2,3, 72, 87, 63, 222, 0, 2, 1, 1, 29465, 10001, 10001,
001,2,4, 33, 82, 11, 126, 116, 0, 0, 3, 40144, 6859, 8188,
001,2,5, 71, 73, 35, 179, 174, 2, 1, 4, 50800, 7211, 10003,
001,2,6, 25, 16, 11, 52, 0, 2, 1, 1, 61481, 10003, 10003,
001,2,7, 32, 79, 89, 200, 0, 2, 1, 1, 72162, 10003, 10003,
001,2,8, 85, 87, 85, 257, 237, 0, 0, 3, 82842, 6891, 9771,
001,2,9, 62, 37, 69, 168, 0, 2, 1, 1, 93518, 10003, 10003,
001,2,10, 39, 43, 29, 111, 11, 2, 1, 3, 104199, 8934, 10003,
001,2,11, 95, 13, 32, 140, 0, 2, 1, 1, 114880, 10002, 10002,
001,2,12, 88, 26, 55, 169, 0, 2, 1, 1, 125562, 10003, 10003,
001,2,13, 33, 79, 65, 177, 153, 0, 0, 3, 136243, 6171, 8898,
001,2,14, 85, 67, 31, 183, 243, 0, 0, 3, 146918, 8016, 9856,
001,2,15, 47, 48, 33, 128, 0, 2, 1, 1, 157542, 10003, 10003,
001,2,16, 14, 87, 27, 128, 128, 1, 0, 3, 168223, 7616, 8433,
001,2,17, 48, 88, 45, 181, 0, 2, 1, 1, 178882, 10003, 10003,
001,2,18, 23, 16, 71, 110, 100, 0, 0, 3, 189564, 5019, 6123,
