"Start Time","Fri Nov 25 13:33:45 2011","13:33:44 minus 365 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
6283,240,140,1035,250,150,1,14.1421
8064,625,300,674,574,310,1,51.9711
9486,240,459,687,292,429,1,60.0333
10916,400,75,631,400,101,1,26
12288,559,459,726,538,440,1,28.3196
13756,400,75,634,405,77,1,5.38516
15137,625,300,532,633,293,1,10.6301
16417,559,140,574,543,108,1,35.7771
17733,400,75,515,405,84,1,10.2956
18996,559,459,668,543,476,1,23.3452
20406,400,75,524,393,84,1,11.4018
21676,240,459,622,292,500,1,66.2193
23044,399,525,604,386,476,1,50.6952
24394,400,75,630,381,108,1,38.0789
25770,559,459,639,543,476,1,23.3452
27156,175,299,599,196,300,1,21.0238
28495,240,459,665,215,524,1,69.6419
29906,559,459,612,550,500,1,41.9762
31261,625,300,515,574,286,1,52.8867
32525,559,459,553,514,476,1,48.1041
33820,240,140,621,220,131,1,21.9317
35186,625,300,550,538,300,0,87
36309,175,299,581,154,300,1,21.0238
37629,559,140,1291,550,162,1,23.7697
39661,400,75,505,405,120,1,45.2769
40909,399,525,550,386,517,1,15.2643
42200,175,299,487,215,300,1,40.0125
43429,399,525,591,400,536,1,11.0454
44762,240,459,517,243,445,1,14.3178
46024,625,300,563,633,274,1,27.2029
47331,400,75,542,386,89,1,19.799
48615,559,459,568,567,500,1,41.7732
49929,399,525,508,381,564,1,42.9535
51179,240,140,507,215,115,1,35.3553
52429,559,140,415,526,185,1,55.8032
53585,399,525,481,393,524,1,6.08276
54812,559,459,524,562,429,1,30.1496
56082,175,299,401,166,362,1,63.6396
57228,240,140,551,304,204,0,90.5097
58356,240,459,577,327,417,0,96.6075
59512,625,300,589,676,333,1,60.7454
60844,559,140,532,538,115,1,32.6497
62123,400,75,550,405,108,1,33.3766
63420,559,459,528,538,476,1,27.0185
64688,175,299,533,280,321,0,107.28
65799,240,459,731,173,488,0,73.0068
67105,559,140,603,555,138,1,4.47214
68455,400,75,522,386,96,1,25.2389
69719,175,299,588,149,300,1,26.0192
71053,559,140,507,543,108,1,35.7771
72301,240,459,534,231,488,1,30.3645
73582,399,525,606,381,552,1,32.45
74932,240,459,578,220,433,1,32.8024
76251,559,459,603,495,440,1,66.7608
77601,240,459,597,215,476,1,30.2324
78942,625,300,516,640,300,1,15
80201,240,459,529,250,481,1,24.1661
81474,240,140,664,250,162,1,24.1661
82880,625,300,568,574,310,1,51.9711
84189,559,459,610,550,469,1,13.4536
85541,625,300,514,617,300,1,8
86796,240,140,542,255,131,1,17.4929
88079,399,525,647,400,600,0,75.0067
89303,240,140,577,220,131,1,21.9317
90623,559,140,579,555,108,1,32.249
91948,175,299,488,208,293,1,33.541
93183,625,300,488,567,310,1,58.8558
94412,399,525,566,386,548,1,26.4197
95717,400,75,523,400,54,1,21
96985,240,459,613,309,421,0,78.7718
98170,625,300,599,555,300,1,70
99512,175,299,510,173,300,1,2.23607
100763,559,140,548,555,127,1,13.6015
102052,559,459,592,543,512,1,55.3624
103386,400,75,516,386,108,1,35.8469
104647,559,459,578,538,476,1,27.0185
105971,240,459,586,220,429,1,36.0555
107302,399,525,565,400,552,1,27.0185
108613,625,300,556,610,300,1,15
109910,240,140,594,255,173,1,36.2491
111247,240,459,555,220,512,1,56.648
112539,559,140,519,538,120,1,29
113797,399,525,526,405,536,1,12.53
115069,625,300,497,581,310,1,45.1221
116311,400,75,507,405,73,1,5.38516
117565,625,300,529,633,300,1,8
118835,175,299,506,220,300,1,45.0111
120087,240,459,569,201,500,1,56.5862
121403,559,140,552,550,108,1,33.2415
122701,399,525,525,398,536,1,11.0454
123972,400,75,542,400,84,1,9
125261,559,459,586,538,433,1,33.4215
126589,559,140,511,562,131,1,9.48683
127845,240,140,525,208,150,1,33.5261
129116,399,525,463,405,493,1,32.5576
130319,240,140,529,231,166,1,27.5136
131596,399,525,553,381,536,1,21.095
132892,559,459,560,507,405,0,74.9667
134029,175,299,552,196,300,1,21.0238
135321,559,140,522,500,143,1,59.0762
136584,240,140,529,250,138,1,10.198
137854,399,525,595,400,571,1,46.0109
139192,240,459,589,227,469,1,16.4012
140524,175,299,570,215,293,1,40.4475
141834,625,300,482,543,300,0,82
142893,559,140,656,567,150,1,12.8062
144290,400,75,522,405,101,1,26.4764
145560,240,140,535,238,173,1,33.0606
146835,400,75,541,393,101,1,26.9258
148123,559,140,603,488,166,0,75.6108
149300,175,299,578,227,302,1,52.0865
150625,400,75,563,400,96,1,21
151930,399,525,490,386,600,0,76.1183
152998,240,140,619,292,185,1,68.7677
154359,625,300,532,567,350,0,76.5768
155468,559,459,614,543,421,1,41.2311
156822,240,459,489,250,481,1,24.1661
158056,240,140,568,250,143,1,10.4403
159372,400,75,506,400,77,1,2
160621,240,459,494,227,429,1,32.6956
161861,625,300,514,671,286,1,48.0833
163123,399,525,524,393,540,1,16.1555
164388,400,75,480,381,96,1,28.3196
165615,240,140,548,250,173,1,34.4819
166903,559,140,815,538,150,1,23.2594
168459,240,459,641,220,493,1,39.4462
169841,625,300,546,593,300,1,32
171132,559,459,604,531,457,1,28.0713
