"Start Time","Fri Nov 25 13:41:11 2011","13:41:10 minus 651 ms","Subject","001","Target Distance",225,"Radius",37.5

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
6291,240,459,1117,238,476,1,17.1172
8152,399,525,947,398,517,1,8.06226
9839,240,140,981,250,150,1,14.1421
11561,240,459,1138,227,469,1,16.4012
13443,559,459,1003,543,440,1,24.8395
15189,399,525,936,398,505,1,20.025
16865,400,75,762,381,89,1,23.6008
18370,399,525,893,400,517,1,8.06226
20005,240,459,1057,238,488,1,29.0689
21805,175,299,947,196,300,1,21.0238
23490,559,459,1014,550,476,1,19.2354
25245,625,300,954,617,300,1,8
26944,240,140,845,280,162,0,45.6508
28365,399,525,1008,405,517,1,10
30117,559,459,898,543,476,1,23.3452
31756,625,300,755,617,300,1,8
33255,559,140,728,543,166,1,30.5287
34724,240,140,871,250,155,1,18.0278
36337,240,459,789,255,457,1,15.1327
37865,559,459,764,543,433,1,30.5287
39370,240,140,795,250,162,1,24.1661
40909,559,459,777,543,445,1,21.2603
42425,625,300,763,581,298,0,44.0454
43764,240,140,810,250,162,1,24.1661
45318,559,140,935,555,131,1,9.84886
46992,175,299,837,184,310,1,14.2127
48566,399,525,858,400,512,1,13.0384
50169,559,140,798,555,127,1,13.6015
51709,175,299,693,177,300,1,2.23607
53145,399,525,790,400,500,1,25.02
54674,559,459,743,555,469,1,10.7703
56159,625,300,659,640,300,1,15
57557,399,525,746,400,571,0,46.0109
58880,400,75,1029,398,89,1,14.1421
60648,625,300,881,621,300,1,4
62273,399,525,892,398,512,1,13.0384
63908,625,300,932,581,300,0,44
65413,400,75,768,398,115,0,40.05
66757,240,140,851,250,143,1,10.4403
68350,400,75,717,381,101,1,32.2025
69806,175,299,891,173,302,1,3.60555
71440,559,459,975,543,445,1,21.2603
73156,399,525,1118,400,517,1,8.06226
75015,559,459,803,562,464,1,5.83095
76560,625,300,735,610,300,1,15
78038,559,459,1561,555,445,1,14.5602
80336,625,300,776,629,314,1,14.5602
81850,240,459,1115,250,440,1,21.4709
83704,400,75,1161,405,84,1,10.2956
85605,559,459,1009,550,440,1,21.0238
87356,559,140,893,543,143,1,16.2788
88989,625,300,734,610,300,1,15
90464,559,140,817,550,143,1,9.48683
92023,399,525,1130,400,505,1,20.025
93892,175,299,1223,173,286,1,13.1529
95856,559,459,928,543,476,1,23.3452
97528,240,459,1005,255,445,1,20.5183
99274,175,299,816,184,300,1,9.05539
100829,400,75,948,398,96,1,21.095
102520,240,140,838,238,150,1,10.198
104100,175,299,1315,177,300,1,2.23607
106157,559,140,1057,555,131,1,9.84886
107952,240,140,1013,250,150,1,14.1421
109705,625,300,871,610,300,1,15
111318,559,140,810,514,150,0,46.0977
112702,625,300,899,617,300,1,8
114344,399,525,1439,400,517,1,8.06226
116525,240,459,830,250,476,1,19.7231
118099,175,299,803,177,300,1,2.23607
119641,399,525,981,381,500,1,30.8058
121365,559,140,1076,538,138,1,21.095
123182,240,140,844,255,138,1,15.1327
124765,399,525,1002,400,505,1,20.025
126504,625,300,1046,617,300,1,8
128293,240,459,1115,227,481,1,25.5539
130147,400,75,1015,381,84,1,21.0238
131901,559,140,1076,543,127,1,20.6155
133717,559,459,1086,543,440,1,24.8395
135546,175,299,825,161,314,1,20.5183
137115,400,75,974,400,96,1,21
138828,559,459,927,550,452,1,11.4018
140500,400,75,731,398,73,1,2.82843
141975,559,140,789,555,143,1,5
143505,175,299,725,166,314,1,17.4929
144967,559,459,852,538,445,1,25.2389
146562,240,459,872,238,452,1,7.28011
148172,399,525,940,400,517,1,8.06226
149850,400,75,694,400,77,1,2
151288,559,140,726,555,138,1,4.47214
152755,240,140,783,255,150,1,18.0278
154279,240,459,786,231,469,1,13.4536
155804,559,140,742,543,143,1,16.2788
157287,240,459,938,227,433,1,29.0689
158964,400,75,898,400,96,1,21
160605,559,459,849,550,445,1,16.6433
162196,400,75,1155,398,49,1,26.0768
164088,240,140,851,220,131,1,21.9317
165675,175,299,1182,177,302,1,3.60555
167601,625,300,1220,629,298,1,4.47214
169564,240,459,776,280,445,0,42.3792
170916,400,75,831,398,89,1,14.1421
172486,240,459,769,231,433,1,27.5136
173998,625,300,939,621,298,1,4.47214
175676,240,459,794,266,476,1,31.0644
177214,175,299,775,177,293,1,6.32456
178730,240,459,975,255,476,1,22.6716
180448,399,525,1014,410,500,1,27.313
182204,175,299,735,196,298,1,21.0238
183677,400,75,748,405,96,1,21.587
185170,559,459,886,543,445,1,21.2603
