"Start Time","Tue Nov 22 11:06:57 2011","11:06:56 minus 1018 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
5473,240,140,1237,231,173,1,34.2053
7458,625,300,1244,562,300,1,63
9450,240,459,1246,297,398,0,83.4865
11271,400,75,815,381,162,0,89.0505
12664,559,459,982,531,481,1,35.609
14388,400,75,744,374,136,1,66.3099
15879,625,300,936,567,300,1,58
17562,559,140,753,507,183,1,67.4759
19062,400,75,718,386,127,1,53.8516
20527,559,459,771,538,417,1,46.9574
22044,400,75,691,398,152,0,77.026
23313,240,459,912,243,469,1,10.4403
24972,399,525,646,400,536,1,11.0454
26364,400,75,621,400,157,0,82
27563,559,459,815,555,429,1,30.2655
29122,175,299,674,166,298,1,9.05539
30542,240,459,691,231,445,1,16.6433
31979,559,459,710,550,445,1,16.6433
33434,625,300,763,593,321,1,38.2753
34933,559,459,693,567,417,1,42.7551
36374,240,140,708,309,178,0,78.7718
37661,625,300,717,617,314,1,16.1245
39126,175,299,612,100,300,0,75.0067
40316,559,140,646,483,178,0,84.9706
41541,400,75,657,386,127,1,53.8516
42943,399,525,693,400,481,1,44.0114
44382,175,299,736,215,300,1,40.0125
45865,399,525,673,405,493,1,32.5576
47285,240,459,673,215,440,1,31.4006
48705,625,300,717,574,300,1,51
50168,400,75,682,398,148,0,73.0274
51430,559,459,786,555,417,1,42.19
52957,399,525,568,400,536,1,11.0454
54271,240,140,902,231,157,1,19.2354
55915,559,140,663,514,148,1,45.7056
57325,399,525,621,393,488,1,37.4833
58693,559,459,577,581,440,1,29.0689
60015,175,299,603,173,298,1,2.23607
61364,240,140,560,238,141,1,2.23607
62669,240,459,621,238,433,1,26.0768
64037,625,300,585,633,300,1,8
65369,559,140,612,543,127,1,20.6155
66722,400,75,605,398,89,1,14.1421
68073,559,459,621,531,429,1,41.0366
69440,175,299,560,119,298,1,56.0089
70747,240,459,586,238,488,1,29.0689
72079,559,140,540,538,152,1,24.1868
73366,400,75,551,398,115,1,40.05
74664,175,299,507,177,300,1,2.23607
75917,559,140,533,562,127,1,13.3417
77196,240,459,542,285,405,0,70.2922
78803,399,525,543,398,512,1,13.0384
80092,240,459,524,220,464,1,20.6155
81362,559,459,657,538,429,1,36.6197
82764,240,459,525,215,536,0,80.9568
83867,625,300,585,617,314,1,16.1245
85200,240,459,577,250,457,1,10.198
86523,240,140,550,238,178,1,38.0526
87813,625,300,577,617,300,1,8
89138,559,459,628,543,440,1,24.8395
90513,625,300,585,621,298,1,4.47214
91846,240,140,602,285,162,1,50.0899
93194,399,525,551,410,524,1,11.0454
94491,240,140,568,292,141,1,52.0096
95806,559,140,549,543,195,1,57.28
97097,175,299,629,220,300,1,45.0111
98472,625,300,531,598,338,1,46.6154
99750,399,525,551,398,524,1,1.41421
101046,400,75,612,398,148,0,73.0274
102237,240,459,639,220,469,1,22.3607
103623,625,300,532,633,300,1,8
104902,175,299,534,208,300,1,33.0151
106182,559,140,561,555,169,1,29.2746
107490,559,459,639,543,433,1,30.5287
108877,400,75,524,398,141,1,66.0303
110147,559,459,533,562,481,1,22.2036
111427,240,459,595,262,417,1,47.4131
112763,399,525,595,405,457,1,68.2642
114104,625,300,559,593,314,1,34.9285
115410,240,140,929,243,152,1,12.3693
117085,240,459,928,243,469,1,10.4403
118759,559,140,586,495,148,1,64.4981
120090,399,525,568,386,512,1,18.3848
121404,625,300,524,617,338,1,38.833
122674,400,75,559,398,115,1,40.05
123980,625,300,551,660,300,1,35
125278,175,299,569,149,333,1,42.8019
126594,240,459,630,250,445,1,17.2047
127971,559,140,647,531,148,1,29.1204
129365,399,525,551,398,464,1,61.0082
130664,400,75,587,398,101,1,26.0768
131997,559,459,692,538,433,1,33.4215
133434,559,140,578,550,141,1,9.05539
134760,240,140,543,292,136,1,52.1536
136619,399,525,945,398,440,0,85.0059
138142,240,140,939,231,169,1,30.3645
139828,399,525,640,400,481,1,44.0114
141212,559,459,612,538,464,1,21.587
142570,175,299,542,215,298,1,40.0125
143858,559,140,585,526,127,1,35.4683
145184,240,140,657,297,127,1,58.4637
146587,399,525,718,400,540,1,15.0333
148050,240,459,715,215,469,1,26.9258
149512,175,299,594,154,298,1,21.0238
150850,625,300,604,586,333,1,51.0882
152199,559,140,621,543,136,1,16.4924
153567,400,75,569,393,80,1,8.60233
154881,240,140,593,255,122,1,23.4307
156221,400,75,568,400,80,1,5
157534,559,140,559,555,136,1,5.65685
158839,175,299,542,208,300,1,33.0151
160127,400,75,551,398,115,1,40.05
161422,399,525,559,381,529,1,18.4391
162722,240,140,559,262,127,1,25.5539
164027,625,300,532,633,300,1,8
165305,559,459,657,538,421,1,43.4166
166709,240,459,708,238,469,1,10.198
168162,240,140,603,262,148,1,23.4094
169511,400,75,515,398,59,1,16.1245
170772,240,459,577,266,445,1,29.5296
172097,625,300,497,652,298,1,27.074
173339,399,525,594,400,524,1,1.41421
174680,400,75,526,398,63,1,12.1655
175953,240,140,569,255,131,1,17.4929
177268,559,140,593,555,148,1,8.94427
178609,240,459,620,292,421,1,64.405
179975,625,300,550,581,272,1,52.1536
181266,559,459,586,514,457,1,45.0444
182598,240,140,526,280,127,1,42.0595
183871,559,459,630,543,493,1,37.5766
185247,399,525,586,400,493,1,32.0156
