"Start Time","Tue Nov 22 11:10:33 2011","11:10:32 minus 463 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4648,240,459,1171,220,445,0,24.4131
6389,399,525,1485,381,517,0,19.6977
8933,240,140,1181,238,148,1,8.24621
10857,240,459,1267,266,445,0,29.5296
12702,559,459,2566,562,440,0,19.2354
15843,399,525,1240,400,488,0,37.0135
18144,400,75,1364,386,68,0,15.6525
20083,399,525,1403,386,517,0,15.2643
22062,240,459,4257,231,445,0,16.6433
26889,175,299,1075,189,300,0,14.0357
28540,559,459,1355,555,464,1,6.40312
30637,625,300,1186,617,300,1,8
32565,240,140,1462,238,141,1,2.23607
34764,399,525,986,381,517,0,19.6977
36327,559,459,1735,562,469,1,10.4403
38804,625,300,1076,640,298,0,15.1327
40456,559,140,1416,562,148,1,8.544
42614,240,140,1216,238,136,1,4.47214
44571,240,459,1270,238,469,1,10.198
46585,559,459,1396,555,469,1,10.7703
48718,240,140,992,243,141,1,3.16228
50451,559,459,1267,562,469,1,10.4403
52458,625,300,1203,633,298,1,8.24621
54401,240,140,936,231,141,1,9.05539
56078,559,140,1015,543,127,0,20.6155
57669,175,299,994,166,300,1,9.05539
59404,399,525,788,405,529,1,7.2111
60934,559,140,906,562,131,1,9.48683
62581,175,299,776,166,300,1,9.05539
64097,399,525,939,398,512,1,13.0384
65780,559,459,1407,562,433,0,26.1725
68249,625,300,1067,640,298,0,15.1327
69887,399,525,951,400,524,1,1.41421
71580,400,75,1332,386,68,0,15.6525
73487,625,300,1360,629,300,1,4
75590,399,525,881,398,524,1,1.41421
77213,625,300,1228,629,300,1,4
79182,400,75,1151,398,73,1,2.82843
81074,240,140,1234,231,136,1,9.84886
83052,400,75,1010,400,59,0,16
84638,175,299,935,173,300,1,2.23607
86317,559,459,1148,555,469,1,10.7703
88208,399,525,764,393,536,1,12.53
89716,559,459,1061,555,476,0,17.4642
91347,625,300,1211,640,298,0,15.1327
93135,559,459,1865,550,440,0,21.0238
95575,625,300,1197,617,300,1,8
97513,240,459,1127,231,469,1,13.4536
99382,400,75,1050,400,73,1,2
101175,559,459,1310,562,469,1,10.4403
103225,559,140,1365,555,148,1,8.94427
105331,625,300,1146,629,302,1,4.47214
107218,559,140,1275,562,136,1,5
109234,399,525,911,400,524,1,1.41421
110888,175,299,1391,173,298,1,2.23607
113023,559,459,992,543,429,0,34
114591,240,459,1110,255,469,0,18.0278
116277,175,299,1371,149,298,0,26.0192
118219,400,75,1363,400,73,1,2
120322,240,140,1388,238,136,1,4.47214
122452,175,299,853,177,284,0,15.1327
123881,559,140,1645,550,141,1,9.05539
126263,240,140,1174,231,141,1,9.05539
128179,625,300,1270,629,300,1,4
130191,559,140,1403,550,148,1,12.0416
132334,625,300,1298,621,300,1,4
134375,399,525,1128,398,524,1,1.41421
136246,240,459,2041,238,440,0,19.105
138862,175,299,1345,161,298,0,14.0357
140783,399,525,1648,400,500,0,25.02
143493,559,140,1237,555,141,1,4.12311
145472,240,140,1040,243,141,1,3.16228
147253,399,525,829,400,540,0,15.0333
148658,625,300,1141,640,300,0,15
150373,240,459,958,243,481,0,22.2036
151907,400,75,1052,400,73,1,2
153701,559,140,1187,562,141,1,3.16228
155631,559,459,1080,555,457,1,4.47214
157453,175,299,1381,173,300,1,2.23607
159576,400,75,905,400,73,1,2
161223,559,459,1514,555,433,0,26.3059
163307,400,75,998,398,73,1,2.82843
165048,559,140,1025,538,127,0,24.6982
166650,175,299,806,215,300,0,40.0125
168033,559,459,923,550,469,1,13.4536
169697,240,459,2815,215,476,0,30.2324
173087,399,525,723,400,524,1,1.41421
174551,400,75,1021,400,80,1,5
176315,559,140,988,562,148,1,8.544
178045,240,140,829,231,136,1,9.84886
179615,240,459,1001,238,445,0,14.1421
181190,559,140,979,562,127,1,13.3417
182912,240,459,889,231,464,1,10.2956
184543,400,75,957,400,73,1,2
