"Start Time","Tue Nov 22 11:25:43 2011","11:25:42 minus 894 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4969,240,140,915,238,169,1,29.0689
6625,625,300,831,567,302,1,58.0345
8203,240,459,920,266,429,1,39.6989
9870,400,75,656,400,89,1,14
11272,559,459,595,567,469,1,12.8062
12614,400,75,621,386,52,1,26.9258
13982,625,300,647,610,302,1,15.1327
15376,559,140,621,531,141,1,28.0179
16744,400,75,586,398,68,1,7.28011
18078,559,459,647,543,429,1,34
19472,400,75,577,398,68,1,7.28011
20795,240,459,753,250,445,1,17.2047
22295,399,525,620,400,548,1,23.0217
23661,400,75,569,400,101,1,26
24976,559,459,683,538,417,1,46.9574
26405,175,299,569,184,298,1,9.05539
27720,240,459,585,231,500,1,41.9762
29053,559,459,577,555,469,1,10.7703
30376,625,300,594,581,298,1,44.0454
31717,559,459,620,562,440,1,19.2354
33084,240,140,595,280,162,1,45.6508
34425,625,300,525,652,338,1,46.6154
35698,175,299,517,220,298,1,45.0111
36961,559,140,524,543,162,1,27.2029
38226,400,75,498,398,115,1,40.05
39472,399,525,490,400,512,1,13.0384
40708,175,299,498,231,272,1,62.1691
41953,399,525,533,400,493,1,32.0156
43234,240,459,700,238,493,1,34.0588
44681,625,300,595,621,298,1,4.47214
46017,400,75,560,386,115,1,42.3792
47325,559,459,542,538,429,1,36.6197
48615,399,525,576,398,524,1,1.41421
49937,240,140,569,280,157,1,43.4626
51252,559,140,515,562,127,1,13.3417
52513,399,525,611,398,505,1,20.025
53870,559,459,533,543,457,1,16.1245
55150,175,299,683,173,350,1,51.0392
56580,240,140,595,243,152,1,12.3693
57920,240,459,682,243,469,1,10.4403
59348,625,300,586,629,298,1,4.47214
60681,559,140,629,538,157,1,27.0185
62056,400,75,578,398,47,1,28.0713
63380,559,459,732,507,417,1,66.8431
64851,175,299,587,142,338,1,51.0882
66180,240,459,577,231,452,1,11.4018
67504,559,140,490,574,105,1,38.0789
68740,400,75,613,398,122,1,47.0425
70098,175,299,622,208,310,1,34.7851
71467,559,140,560,598,122,1,42.9535
72768,240,459,666,285,469,1,46.0977
74180,399,525,674,398,481,1,44.0114
75596,240,459,595,201,464,1,39.3192
76938,559,459,570,562,445,1,14.3178
78255,240,459,638,255,452,1,16.5529
79640,625,300,586,617,310,1,12.8062
80973,240,459,516,285,469,1,46.0977
82237,240,140,630,273,169,1,43.9318
83614,625,300,576,574,310,1,51.9711
84935,559,459,613,550,433,1,27.5136
86295,625,300,593,574,314,1,52.8867
87637,240,140,613,292,169,1,59.5399
89569,399,525,1114,400,524,1,1.41421
91430,240,140,665,285,190,1,67.2681
92842,559,140,734,538,162,1,30.4138
94322,175,299,612,196,300,1,21.0238
95681,625,300,613,574,298,1,51.0392
97039,399,525,568,393,529,1,7.2111
98353,400,75,568,393,84,1,11.4018
99669,240,459,692,262,464,1,22.561
101109,625,300,559,581,298,1,44.0454
102414,175,299,683,184,345,1,46.8722
103842,559,140,506,543,148,1,17.8885
105094,559,459,629,543,440,1,24.8395
106472,400,75,612,386,105,1,33.1059
107832,559,459,621,531,440,1,33.8378
109198,240,459,551,262,469,1,24.1661
110496,399,525,596,400,512,1,13.0384
111839,625,300,541,640,300,1,15
113127,240,140,568,292,127,1,53.6004
114440,240,459,657,280,469,1,41.2311
115844,559,140,586,507,141,1,52.0096
117177,399,525,586,398,552,1,27.0185
118509,625,300,599,581,300,1,44
119848,400,75,596,398,122,1,47.0425
121185,625,300,585,605,302,1,20.0998
122517,175,299,551,196,310,1,23.7065
123810,240,459,622,250,433,1,27.8568
125179,559,140,592,555,122,1,18.4391
126517,399,525,630,386,464,1,62.3699
127888,400,75,551,386,59,1,21.2603
129184,559,459,613,538,421,1,43.4166
130543,559,140,595,526,157,1,37.1214
131884,240,140,560,243,115,1,25.1794
133185,399,525,683,400,469,1,56.0089
134615,240,140,629,243,122,1,18.2483
135990,399,525,691,381,452,0,75.1864
137261,559,459,629,538,433,1,33.4215
138637,175,299,674,215,314,1,42.72
140058,559,140,665,500,173,1,67.6018
141471,240,140,595,273,157,1,37.1214
142807,399,525,648,400,529,1,4.12311
144201,240,459,586,262,410,1,53.7122
145533,175,299,560,208,298,1,33.0151
146840,625,300,498,660,310,1,36.4005
148084,559,140,551,519,169,1,49.4065
149383,400,75,543,393,110,1,35.6931
150673,240,140,498,243,148,1,8.544
151918,400,75,463,400,94,1,19
153126,559,140,470,562,141,1,3.16228
154342,175,299,436,177,300,1,2.23607
155524,400,75,507,400,127,1,52
156778,399,525,499,400,536,1,11.0454
158023,240,140,533,266,169,1,38.9487
159304,625,300,461,640,288,1,19.2094
160512,559,459,551,550,433,1,27.5136
161809,240,459,515,316,469,0,76.6551
163474,240,140,534,231,148,1,12.0416
164755,400,75,559,400,141,1,66
166060,240,459,498,250,493,1,35.4401
167305,625,300,515,574,298,1,51.0392
168566,399,525,482,398,493,1,32.0156
169794,400,75,559,374,127,1,58.1378
171099,240,140,860,250,148,1,12.8062
172706,559,140,513,500,152,1,60.208
173965,240,459,524,250,536,0,77.6466
175066,625,300,489,664,326,1,46.8722
176301,559,459,489,526,452,1,33.7343
177536,240,140,560,231,148,1,12.0416
178843,559,459,462,526,445,1,35.8469
180050,399,525,480,405,560,1,35.5106
181277,240,140,498,292,195,0,75.6902
182348,559,459,437,617,410,0,75.9276
183364,625,300,436,581,333,1,55
184547,559,459,498,519,421,1,55.1725
