"Start Time","Tue Nov 22 11:29:12 2011","11:29:11 minus 914 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4959,400,75,1319,386,68,0,15.6525
6853,625,300,1414,629,298,1,4.47214
9009,240,459,1158,238,469,1,10.198
10910,559,140,1211,555,131,1,9.84886
12863,399,525,1013,398,512,1,13.0384
14620,559,140,1167,550,141,1,9.05539
16530,240,140,1114,238,131,1,9.21954
18386,400,75,1040,400,73,1,2
20167,240,140,1075,227,131,0,15.8114
21819,625,300,1240,621,310,1,10.7703
23801,559,140,1017,555,127,1,13.6015
25559,175,299,2166,149,302,0,26.1725
28302,240,459,1206,231,464,1,10.2956
30249,559,140,953,550,141,1,9.05539
31939,240,140,1147,243,157,0,17.2627
33662,559,140,1055,562,127,1,13.3417
35457,240,459,1363,231,469,1,13.4536
37556,399,525,935,400,512,1,13.0384
39232,625,300,1203,629,298,1,4.47214
41176,240,140,1164,238,141,1,2.23607
43082,400,75,1016,386,63,0,18.4391
44675,559,140,1105,555,127,1,13.6015
46521,240,140,1210,243,136,1,5
48467,240,459,1281,238,469,1,10.198
50490,559,140,1235,562,148,1,8.544
52466,400,75,1011,398,73,1,2.82843
54221,559,459,1318,550,469,1,13.4536
56281,240,140,1197,238,141,1,2.23607
58221,559,140,1056,555,136,1,5.65685
60018,400,75,937,400,84,1,9
62356,240,459,1342,243,469,1,10.4403
64439,400,75,982,400,73,1,2
66164,625,300,1399,629,298,1,4.47214
68304,399,525,965,398,529,1,4.12311
70011,625,300,1186,621,298,1,4.47214
71940,240,459,1369,231,440,0,21.0238
73886,400,75,1123,400,80,1,5
75750,625,300,1145,621,298,1,4.47214
77637,400,75,1153,400,68,1,7
79532,559,459,1257,555,469,1,10.7703
81530,625,300,777,581,300,0,44
82884,559,459,1122,562,457,1,3.60555
84748,625,300,1035,621,300,1,4
86524,399,525,947,405,517,1,10
88212,240,459,3075,243,440,0,19.2354
91862,559,459,1150,562,469,1,10.4403
93754,400,75,1099,398,68,1,7.28011
95595,240,459,996,243,481,0,22.2036
97164,240,140,1017,231,136,1,9.84886
98923,175,299,1293,166,284,0,17.4929
100792,559,140,1093,550,141,1,9.05539
102627,399,525,1065,398,529,1,4.12311
104432,625,300,1287,617,300,1,8
106460,400,75,929,400,68,1,7
108131,625,300,1139,621,300,1,4
110011,559,140,1062,531,141,0,28.0179
111650,399,525,1237,398,512,1,13.0384
113630,559,140,1040,555,136,1,5.65685
115413,400,75,1063,400,73,1,2
117220,559,459,1336,555,445,0,14.5602
119132,240,459,1520,243,469,1,10.4403
121393,625,300,1286,621,300,1,4
123420,175,299,1433,161,300,0,14.0357
125428,625,300,1346,629,298,1,4.47214
127515,399,525,1077,398,512,1,13.0384
129334,559,140,1098,555,141,1,4.12311
131172,240,459,2018,243,452,1,7.61577
133931,559,459,1590,555,469,1,10.7703
136262,175,299,1328,177,300,1,2.23607
138332,399,525,933,400,524,1,1.41421
140005,559,459,1137,555,469,1,10.7703
141884,559,140,1196,562,136,1,5
143822,400,75,1064,398,73,1,2.82843
145626,240,140,1110,250,141,1,10.0499
147472,625,300,1054,617,300,1,8
149267,400,75,980,398,84,1,9.21954
150988,240,459,1252,231,410,0,49.8197
152815,240,140,1057,231,148,1,12.0416
154613,175,299,772,166,302,1,9.48683
156125,240,459,1091,243,464,1,5.83095
157958,175,299,841,189,314,0,20.5183
159374,240,140,992,243,136,1,5
161108,399,525,1156,400,536,1,11.0454
163006,240,140,1076,243,141,1,3.16228
164824,400,75,1129,398,68,1,7.28011
166696,559,459,1962,543,464,0,16.7631
169804,559,140,1202,550,127,0,15.8114
171580,240,459,1293,243,469,1,10.4403
173615,400,75,1227,400,68,1,7
175582,559,140,1064,567,148,1,11.3137
177387,400,75,959,398,73,1,2.82843
179087,175,299,1145,177,300,1,2.23607
180970,240,140,1069,243,136,1,5
182781,400,75,865,400,89,0,14
184221,240,459,1198,266,464,0,26.4764
