"Start Time","Tue Nov 22 11:36:16 2011","11:36:15 minus 57 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5370,"suite",0,2404,"<timeout>",1
7778,"pond",0,2403,"<timeout>",0
10185,"folk",0,2404,"<timeout>",0
12592,"suite",0,2404,"<timeout>",0
15000,"boulder",0,2403,"<timeout>",0
17406,"boulder",1,779,"1",1
19816,"folk",0,466,"3",1
22226,"folk",1,567,"1",1
24637,"wedge",0,405,"3",1
27046,"mineral",0,851,"3",1
29456,"mineral",1,570,"1",1
31865,"suite",0,2404,"<timeout>",0
34272,"folk",0,561,"3",1
36682,"folk",1,552,"1",1
39092,"suite",0,534,"3",1
41501,"wedge",0,1148,"3",1
43911,"pond",0,1011,"3",1
46320,"pond",1,467,"1",1
48729,"actress",0,1241,"3",1
51139,"actress",1,704,"1",1
53550,"actress",1,732,"1",1
55960,"folk",0,1418,"3",1
58370,"folk",1,920,"1",1
60780,"actress",0,2038,"3",1
63188,"folk",0,1038,"3",1
65597,"wedge",0,622,"3",1
68008,"wedge",1,659,"1",1
70419,"wedge",1,783,"1",1
72829,"pond",0,1157,"3",1
75238,"wedge",0,1372,"3",1
77647,"dentist",0,1131,"3",1
80057,"dentist",1,513,"1",1
82467,"dentist",1,687,"1",1
84877,"boulder",0,773,"3",1
87287,"boulder",1,788,"1",1
89696,"boulder",1,691,"1",1
92105,"mineral",0,753,"3",1
94515,"actress",0,1272,"3",1
96926,"dentist",0,1325,"3",1
99335,"mineral",0,845,"3",1
101744,"boulder",0,811,"3",1
104153,"mineral",0,560,"3",1
106562,"boulder",0,666,"3",1
108972,"wedge",0,448,"3",1
111381,"mineral",0,566,"3",1
113791,"mineral",1,725,"1",1
116201,"suite",0,571,"3",1
118610,"suite",1,618,"1",1
121021,"dentist",0,1222,"1",0
123431,"actress",0,486,"3",1
125842,"dentist",0,841,"3",1
128252,"pond",0,952,"3",1
130661,"wedge",0,686,"3",1
133070,"wedge",1,886,"1",1
135479,"mineral",0,630,"3",1
137889,"mineral",1,436,"1",1
140299,"suite",0,626,"3",1
142708,"actress",0,1560,"3",1
145118,"dentist",0,1230,"3",1
147528,"dentist",1,2404,"<timeout>",0
149936,"folk",0,564,"3",1
152346,"pond",0,667,"3",1
154755,"pond",1,721,"1",1
157164,"pond",1,530,"1",1
159575,"boulder",0,766,"3",1
161985,"actress",0,995,"3",1
164394,"actress",1,843,"1",1
166804,"suite",0,406,"3",1
169213,"suite",1,489,"1",1
171623,"suite",1,1574,"1",1
174033,"boulder",0,948,"3",1
176442,"dentist",0,995,"3",1
178851,"pond",0,938,"3",1
181262,"suite",0,406,"3",1
183671,"pond",0,1078,"3",1
