Start Time,Tue Nov 22 15-25-33 2011,Offset,15:25:34 minus 1098 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 8, 3, 3, 14, 7, 0, 0, 1, 7319, 165, 453,
001,2,2, 3, 4, 3, 10, 10, 1, 0, 2, 12991, 2878, 3343,
001,2,3, 7, 1, 5, 13, 13, 1, 0, 2, 18663, 2718, 3134,
001,2,4, 1, 4, 5, 10, 10, 1, 0, 2, 24336, 1893, 2309,
001,2,5, 5, 6, 7, 18, 18, 1, 0, 2, 30010, 2116, 2819,
001,2,6, 4, 4, 9, 17, 17, 1, 0, 2, 35682, 2275, 2876,
001,2,7, 4, 3, 9, 16, 16, 1, 0, 2, 41355, 2267, 2835,
001,2,8, 9, 1, 1, 11, 11, 1, 0, 2, 47028, 2417, 2843,
001,2,9, 4, 9, 9, 22, 22, 1, 0, 2, 52702, 2177, 2528,
001,2,10, 6, 2, 4, 12, 12, 1, 0, 2, 58375, 2104, 2503,
001,2,11, 8, 2, 1, 11, 11, 1, 0, 2, 64048, 1911, 2407,
001,2,12, 9, 1, 3, 13, 13, 1, 0, 3, 69721, 1751, 2835,
001,2,13, 4, 7, 6, 17, 17, 1, 0, 2, 75394, 2109, 2757,
001,2,14, 5, 8, 5, 18, 18, 1, 0, 2, 81066, 2806, 4318,
001,2,15, 7, 1, 5, 13, 13, 1, 0, 2, 86738, 2038, 3013,
001,2,16, 2, 6, 7, 15, 15, 1, 0, 2, 92411, 2069, 2556,
001,2,17, 5, 2, 5, 12, 12, 1, 0, 2, 98084, 1483, 1940,
001,2,18, 5, 3, 1, 9, 9, 1, 0, 1, 103757, 2587, 3004,
001,2,19, 7, 6, 7, 20, 20, 1, 0, 2, 109428, 3684, 4196,
001,2,20, 9, 2, 3, 14, 14, 1, 0, 2, 115102, 2562, 3089,
001,2,21, 2, 6, 6, 14, 14, 1, 0, 2, 120775, 1489, 2234,
001,2,22, 4, 1, 4, 9, 9, 1, 0, 1, 126449, 2120, 2664,
001,2,23, 6, 3, 9, 18, 18, 1, 0, 2, 132121, 2415, 3352,
001,2,24, 8, 9, 2, 19, 19, 1, 0, 2, 137795, 2165, 3118,
001,2,25, 6, 3, 9, 18, 18, 1, 0, 2, 143467, 1885, 2663,
001,2,26, 9, 4, 7, 20, 20, 1, 0, 2, 149139, 3318, 3982,
001,2,27, 5, 2, 2, 9, 9, 1, 0, 1, 154813, 2300, 2604,
001,2,28, 4, 7, 9, 20, 20, 1, 0, 2, 160484, 2284, 3013,
001,2,29, 3, 4, 5, 12, 12, 1, 0, 2, 166158, 2323, 3108,
001,2,30, 1, 4, 9, 14, 14, 1, 0, 2, 171831, 2491, 3003,
001,2,31, 9, 4, 5, 18, 18, 1, 0, 2, 177504, 2098, 2755,
001,2,32, 7, 7, 8, 22, 22, 1, 0, 2, 183177, 3905, 4394,
001,2,33, 4, 1, 4, 9, 9, 1, 0, 1, 188848, 1651, 2027,
001,2,34, 2, 6, 4, 12, 12, 1, 0, 2, 194520, 2283, 2843,
001,2,35, 9, 8, 3, 20, 21, 0, 0, 2, 200192, 3451, 3899,
001,2,36, 4, 3, 3, 10, 10, 1, 0, 2, 205864, 1746, 2178,
