"Start Time","Tue Nov 22 15:37:47 2011","15:37:46 minus 92 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5563,"hinge",0,2405,"<timeout>",1
7972,"germ",0,2403,"<timeout>",1
10379,"shrine",0,2403,"<timeout>",1
12786,"germ",2,2403,"<timeout>",0
15193,"shrine",2,2404,"<timeout>",0
17600,"sulphur",0,2404,"<timeout>",0
20008,"germ",3,2403,"<timeout>",0
22415,"producer",0,2403,"<timeout>",0
24822,"sulphur",3,492,"1",1
27230,"bush",0,2404,"<timeout>",0
29638,"hinge",0,892,"1",0
32046,"cocktail",0,1052,"3",1
34456,"bush",3,723,"3",0
36866,"hunting",0,1112,"3",1
39275,"shrine",0,544,"3",1
41684,"germ",0,750,"1",0
44095,"germ",1,956,"3",1
46504,"producer",0,995,"3",1
48913,"producer",1,914,"3",1
51323,"germ",3,1111,"1",1
53733,"cocktail",0,909,"3",1
56143,"producer",3,1268,"1",1
58554,"sulphur",0,945,"3",1
60963,"cocktail",3,1257,"3",0
63372,"producer",3,1063,"1",1
65781,"producer",1,830,"3",1
68191,"cocktail",3,1397,"3",0
70601,"hunting",0,922,"3",1
73012,"producer",3,1584,"1",1
75422,"hunting",2,1174,"3",1
77832,"germ",0,1531,"3",1
80241,"hunting",2,1499,"3",1
82650,"cocktail",0,1338,"1",0
85060,"germ",3,552,"3",0
87470,"hunting",3,1350,"1",1
89879,"hinge",0,574,"3",1
92289,"bush",0,1579,"3",1
94698,"hunting",3,1322,"1",1
97108,"producer",0,561,"3",1
99518,"bush",3,886,"1",1
101928,"bush",1,1740,"3",1
104337,"shrine",0,987,"3",1
106746,"shrine",1,1114,"3",1
109155,"hunting",0,1417,"3",1
111564,"hinge",0,1441,"3",1
113973,"germ",0,1543,"3",1
116384,"hinge",2,1653,"3",1
118793,"sulphur",0,939,"3",1
121203,"hinge",2,668,"1",0
123613,"sulphur",2,521,"1",0
126022,"germ",0,2405,"<timeout>",0
128430,"hinge",3,1047,"3",0
130839,"bush",0,670,"3",1
133248,"bush",1,1182,"1",0
135658,"hinge",3,621,"3",0
138067,"producer",0,954,"3",1
140476,"bush",3,786,"1",1
142887,"hunting",0,471,"3",1
145298,"hinge",0,406,"3",1
147708,"shrine",0,842,"3",1
150118,"hunting",3,406,"1",1
152527,"hinge",3,640,"3",0
154937,"shrine",3,470,"1",1
157347,"sulphur",0,407,"3",1
159757,"sulphur",1,610,"1",0
162167,"shrine",3,552,"3",0
164578,"bush",0,964,"3",1
166987,"sulphur",3,667,"1",1
169396,"cocktail",0,2405,"<timeout>",0
171804,"cocktail",1,554,"3",1
174214,"sulphur",3,633,"1",1
176624,"shrine",0,762,"3",1
179034,"cocktail",3,405,"1",1
181443,"cocktail",1,875,"3",1
183851,"shrine",3,900,"1",1
