Start Time,Tue Nov 22 16-00-58 2011,Offset,16:00:59 minus 810 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 95, 73, 87, 255, 155, 0, 0, 3, 7593, 5820, 6372,
001,2,2, 54, 11, 39, 104, 100, 0, 0, 3, 18270, 4894, 5758,
001,2,3, 72, 87, 63, 222, 240, 0, 0, 3, 28946, 7778, 8516,
001,2,4, 33, 82, 11, 126, 0, 2, 1, 1, 39620, 10003, 10003,
001,2,5, 71, 73, 35, 179, 123, 0, 0, 3, 50302, 231, 1039,
001,2,6, 25, 16, 11, 52, 52, 1, 1, 3, 60959, 9646, 10037,
001,2,7, 32, 79, 89, 200, 0, 2, 1, 1, 71674, 10003, 10003,
001,2,8, 85, 87, 85, 257, 200, 0, 0, 3, 82320, 1238, 2413,
001,2,9, 62, 37, 69, 168, 1, 2, 1, 2, 92996, 9667, 10002,
001,2,10, 39, 43, 29, 111, 5, 2, 1, 2, 103675, 9661, 10002,
001,2,11, 95, 13, 32, 140, 1, 2, 1, 2, 114354, 9757, 10002,
001,2,12, 88, 26, 55, 169, 0, 2, 1, 1, 125034, 10003, 10003,
001,2,13, 33, 79, 65, 177, 79, 0, 0, 2, 135716, 1172, 4780,
001,2,14, 85, 67, 31, 183, 183, 1, 1, 4, 146392, 7992, 10004,
001,2,15, 47, 48, 33, 128, 128, 1, 1, 4, 157074, 7175, 10004,
001,2,16, 14, 87, 27, 128, 128, 1, 0, 3, 167756, 6604, 7877,
001,2,17, 48, 88, 45, 181, 1, 2, 1, 2, 178430, 8691, 10002,
001,2,18, 23, 16, 71, 110, 110, 1, 0, 3, 189110, 6804, 7947,
