"Start Time","Wed Nov 23 09:14:57 2011","09:14:56 minus 79 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
6326,"hinge",0,2404,"<timeout>",1
8734,"germ",0,2403,"<timeout>",1
11141,"shrine",0,2405,"<timeout>",1
13549,"germ",2,2404,"<timeout>",0
15957,"shrine",2,1360,"1",0
18367,"sulphur",0,2404,"<timeout>",0
20775,"germ",3,1566,"1",1
23183,"producer",0,2406,"<timeout>",0
25592,"sulphur",3,2404,"<timeout>",0
28000,"bush",0,2403,"<timeout>",0
30407,"hinge",0,2403,"<timeout>",0
32814,"cocktail",0,2404,"<timeout>",0
35222,"bush",3,1528,"1",1
37631,"hunting",0,2404,"<timeout>",0
40039,"shrine",0,2403,"<timeout>",0
42446,"germ",0,2403,"<timeout>",0
44853,"germ",1,2404,"<timeout>",0
47260,"producer",0,642,"3",1
49670,"producer",1,457,"3",1
52080,"germ",3,406,"3",0
54489,"cocktail",0,1237,"3",1
56898,"producer",3,477,"1",1
59308,"sulphur",0,407,"3",1
61717,"cocktail",3,571,"1",1
64127,"producer",3,406,"3",0
66536,"producer",1,2404,"<timeout>",0
68944,"cocktail",3,1215,"3",0
71352,"hunting",0,504,"3",1
73761,"producer",3,407,"1",1
76171,"hunting",2,708,"1",0
78580,"germ",0,1511,"3",1
80989,"hunting",2,1330,"1",0
83399,"cocktail",0,983,"3",1
85809,"germ",3,998,"1",1
88219,"hunting",3,1164,"1",1
90630,"hinge",0,905,"3",1
93039,"bush",0,753,"1",0
95448,"hunting",3,504,"3",0
97858,"producer",0,789,"3",1
100268,"bush",3,1219,"1",1
102679,"bush",1,1729,"1",0
105090,"shrine",0,663,"3",1
107500,"shrine",1,741,"3",1
109909,"hunting",0,1507,"3",1
112318,"hinge",0,1034,"3",1
114727,"germ",0,1017,"1",0
117136,"hinge",2,984,"1",0
119546,"sulphur",0,982,"3",1
121956,"hinge",2,645,"3",1
124366,"sulphur",2,1090,"1",0
126776,"germ",0,832,"3",1
129186,"hinge",3,1182,"1",1
131596,"bush",0,932,"3",1
134007,"bush",1,586,"3",1
136417,"hinge",3,406,"3",0
138826,"producer",0,406,"1",0
141235,"bush",3,2404,"<timeout>",0
143642,"hunting",0,2405,"<timeout>",0
146050,"hinge",0,405,"3",1
148458,"shrine",0,404,"1",0
150868,"hunting",3,709,"1",1
153278,"hinge",3,2404,"<timeout>",0
155685,"shrine",3,406,"3",0
158094,"sulphur",0,407,"3",1
160504,"sulphur",1,993,"3",1
162913,"shrine",3,406,"1",1
165322,"bush",0,1375,"3",1
167732,"sulphur",3,837,"1",1
170141,"cocktail",0,828,"1",0
172551,"cocktail",1,1346,"3",1
174962,"sulphur",3,405,"1",1
177371,"shrine",0,592,"3",1
179780,"cocktail",3,422,"1",1
182188,"cocktail",1,798,"1",0
184597,"shrine",3,478,"1",1
