"Start Time","Wed Nov 23 09:42:52 2011","09:42:51 minus 571 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
5616,400,75,1025,405,77,1,5.38516
7383,625,300,1187,633,298,1,8.24621
9313,240,459,2480,238,467,1,8.24621
12534,559,140,1255,555,143,1,5
14530,399,525,1322,398,517,1,8.06226
16592,559,140,1657,562,143,1,4.24264
18988,240,140,1990,255,131,0,17.4929
21550,400,75,1099,400,73,1,2
23391,240,140,1188,238,138,1,2.82843
25322,625,300,1023,629,300,1,4
27088,559,140,2002,562,143,1,4.24264
29831,175,299,1397,177,300,1,2.23607
31969,240,459,1226,243,450,1,9.48683
33932,559,140,1606,562,138,1,3.60555
36276,240,140,1392,231,143,1,9.48683
38405,559,140,1356,562,138,1,3.60555
40504,240,459,1923,220,443,0,25.6125
43000,399,525,1148,398,529,1,4.12311
44887,625,300,1125,633,298,1,8.24621
46751,240,140,987,250,138,1,10.198
48481,400,75,1171,393,96,0,22.1359
50229,559,140,911,550,138,1,9.21954
51880,240,140,793,231,127,0,15.8114
53249,240,459,1315,238,467,1,8.24621
55297,559,140,1214,550,143,1,9.48683
57252,400,75,1017,398,61,0,14.1421
58841,559,459,1515,555,462,1,5
61094,240,140,901,231,131,1,12.7279
62734,559,140,1037,543,138,0,16.1245
64345,400,75,882,398,61,0,14.1421
65799,240,459,1174,243,474,0,15.2971
67543,400,75,886,400,73,1,2
69172,625,300,1231,633,310,1,12.8062
71141,399,525,1093,398,517,1,8.06226
72974,625,300,926,617,298,1,8.24621
74637,240,459,1248,250,474,0,18.0278
76462,400,75,1231,398,77,1,2.82843
78434,625,300,771,621,300,1,4
79943,400,75,812,398,77,1,2.82843
81495,559,459,1678,555,443,0,16.4924
83745,625,300,1101,629,298,1,4.47214
85584,559,459,2638,543,467,0,17.8885
88798,625,300,951,621,300,1,4
90493,399,525,1528,400,517,1,8.06226
92759,240,459,1646,243,467,1,8.544
95146,559,459,1347,555,438,0,21.3776
97066,400,75,1171,398,89,0,14.1421
98809,240,459,1388,243,467,1,8.544
100936,240,140,1100,238,150,1,10.198
102775,175,299,1031,177,300,1,2.23607
104548,559,140,999,543,138,0,16.1245
106123,399,525,1096,398,517,1,8.06226
107960,625,300,982,617,298,1,8.24621
109678,400,75,1336,398,101,0,26.0768
111590,625,300,848,629,300,1,4
113175,559,140,965,562,138,1,3.60555
114880,399,525,916,398,533,1,8.06226
116538,559,140,762,555,138,1,4.47214
118043,400,75,940,400,73,1,2
119722,559,459,861,562,450,1,9.48683
121324,240,459,1018,255,467,0,17
122915,625,300,841,629,274,0,26.3059
124332,175,299,1074,208,300,0,33.0151
125978,625,300,989,617,300,1,8
127706,399,525,924,398,517,1,8.06226
129370,559,140,936,555,155,0,15.5242
130881,240,459,1600,273,474,0,36.2491
133053,559,459,1155,550,467,1,12.0416
134947,175,299,912,189,293,0,15.2315
136436,399,525,1093,400,517,1,8.06226
138272,559,459,901,567,486,0,28.1603
139744,559,140,1168,555,143,1,5
141652,400,75,923,400,77,1,2
143318,240,140,922,238,150,1,10.198
144978,625,300,1028,629,281,0,19.4165
146583,400,75,871,398,61,0,14.1421
148030,240,459,1440,238,443,0,16.1245
150043,240,140,842,231,131,1,12.7279
151626,175,299,877,173,281,0,18.1108
153079,240,459,1236,243,443,0,16.2788
154883,175,299,1286,177,300,1,2.23607
156908,240,140,1153,231,143,1,9.48683
158800,399,525,1273,400,510,0,15.0333
160647,240,140,1022,227,131,0,15.8114
162244,400,75,2429,400,73,1,2
165415,559,459,2086,538,474,0,25.807
168073,559,140,876,555,143,1,5
169690,240,459,1260,238,467,1,8.24621
171688,400,75,1046,405,73,1,5.38516
173477,559,140,1355,562,143,1,4.24264
175574,400,75,1274,398,89,0,14.1421
177420,175,299,1253,173,298,1,2.23607
179413,240,140,1177,250,155,0,18.0278
181167,400,75,1101,400,89,0,14
182840,240,459,1623,231,462,1,9.48683
185204,399,525,1226,381,517,0,19.6977
