"Start Time","Wed Nov 23 11:23:18 2011","11:23:17 minus 914 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4987,240,140,999,238,127,1,13.1529
6728,625,300,830,629,286,1,14.5602
8300,240,459,1259,255,467,1,17
10302,400,75,902,398,61,1,14.1421
11944,559,459,963,543,450,1,18.3576
13648,400,75,850,393,101,1,26.9258
15243,625,300,993,598,274,1,37.4833
16976,559,140,971,526,120,1,38.5876
18689,400,75,823,398,120,1,45.0444
20260,559,459,1242,538,426,1,39.1152
22243,400,75,1038,393,73,1,7.28011
24020,240,459,884,250,474,1,18.0278
25651,399,525,850,405,510,1,16.1555
27246,400,75,946,393,77,1,7.28011
28939,559,459,946,531,438,1,35
30631,175,299,1947,215,300,1,40.0125
33320,240,459,929,238,474,1,15.1327
34991,559,459,804,538,467,1,22.4722
36538,625,300,953,610,298,1,15.1327
38237,559,459,1147,550,450,1,12.7279
41197,240,140,1073,231,173,1,34.2053
43014,625,300,1104,617,293,1,10.6301
44860,175,299,1515,177,281,1,18.1108
47117,559,140,1218,543,166,1,30.5287
49080,400,75,893,398,54,1,21.095
50714,399,525,1001,398,505,1,20.025
52463,175,299,901,184,300,1,9.05539
55175,399,525,854,400,498,1,27.0185
56770,240,459,964,243,467,1,8.544
58481,625,300,1092,574,298,1,51.0392
60314,400,75,1325,386,66,1,16.6433
62383,559,459,1016,543,455,1,16.4924
64147,399,525,820,400,517,1,8.06226
65707,240,140,1140,238,155,1,15.1327
67587,559,140,862,538,150,1,23.2594
69192,399,525,1052,398,510,1,15.0333
70986,559,459,1008,543,438,1,26.4008
72736,175,299,924,166,298,1,9.05539
74407,240,140,1089,243,143,1,4.24264
76242,240,459,1193,262,431,1,35.609
78177,625,300,1079,633,300,1,8
79998,559,140,909,538,162,1,30.4138
81650,400,75,1037,398,54,1,21.095
83429,559,459,866,550,474,1,17.4929
85036,175,299,1096,196,298,1,21.0238
86875,240,459,903,243,431,1,28.1603
88526,559,140,838,531,131,1,29.4109
90109,400,75,866,398,84,1,9.21954
91719,175,299,1007,177,286,1,13.1529
93468,559,140,1005,531,127,1,30.8707
95217,240,459,893,238,438,1,21.095
96852,399,525,885,381,510,1,23.4307
98485,240,459,832,243,438,1,21.2132
100060,559,459,1003,543,431,1,32.249
101805,240,459,876,243,493,1,34.1321
103425,625,300,962,617,298,1,8.24621
105132,240,459,874,250,467,1,12.8062
106745,240,140,867,266,162,1,34.0588
108359,625,300,911,621,286,1,14.5602
110011,559,459,1009,538,431,1,35
111762,625,300,953,629,300,1,4
113462,240,140,808,280,185,1,60.208
115014,399,525,859,400,517,1,8.06226
116618,240,140,905,250,173,1,34.4819
118263,559,140,1026,507,138,1,52.0384
120031,175,299,907,196,300,1,21.0238
121678,625,300,1120,581,310,1,45.1221
123546,399,525,873,386,517,1,15.2643
125161,400,75,725,386,96,1,25.2389
126630,240,459,954,231,438,1,22.8473
128329,625,300,900,629,298,1,4.47214
129971,175,299,838,184,298,1,9.05539
131551,559,140,720,555,192,1,52.1536
133010,559,459,912,555,474,1,15.5242
134666,400,75,1028,374,35,1,47.7074
136443,559,459,812,555,474,1,15.5242
137997,240,459,832,280,443,1,43.0813
139576,399,525,968,400,521,1,4.12311
141286,625,300,777,633,300,1,8
142803,240,140,886,231,150,1,13.4536
144435,240,459,1658,220,474,1,25
146835,559,140,1013,538,131,1,22.8473
148590,399,525,800,400,505,1,20.025
150131,625,300,823,640,298,1,15.1327
151693,400,75,703,386,77,1,14.1421
153136,625,300,813,633,300,1,8
154694,175,299,788,215,300,1,40.0125
156228,240,459,1096,266,426,1,42.0119
158068,559,140,762,514,127,1,46.8402
159578,399,525,762,400,498,1,27.0185
161081,400,75,701,393,73,1,7.28011
162531,559,459,763,531,438,1,35
164037,559,140,700,543,143,1,16.2788
165484,240,140,935,238,150,1,10.198
167161,399,525,780,400,498,1,27.0185
168680,240,140,762,238,143,1,3.60555
170187,399,525,728,410,533,1,13.6015
171659,559,459,771,531,474,1,31.7648
173176,175,299,868,215,300,1,40.0125
174784,559,140,704,543,150,1,18.868
176236,240,140,753,243,120,1,20.2237
177733,399,525,768,400,510,1,15.0333
179242,240,459,789,273,443,1,36.6742
180772,175,299,761,215,298,1,40.0125
182275,625,300,752,633,298,1,8.24621
183769,559,140,718,538,150,1,23.2594
