"Start Time","Wed Nov 23 11:26:54 2011","11:26:53 minus 1103 ms","Subject","001","Target Distance",225,"Radius",37.5

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
5517,240,459,1057,231,462,1,9.48683
7314,399,525,1015,393,517,1,10
9073,240,140,1422,262,143,1,22.2036
11236,240,459,1021,250,474,1,18.0278
12999,559,459,1459,538,450,1,22.8473
15200,399,525,1159,398,533,1,8.06226
17096,400,75,1350,398,96,1,21.095
19186,399,525,1021,400,521,1,4.12311
20951,240,459,1418,250,455,1,10.7703
23107,175,299,974,177,300,1,2.23607
24825,559,459,1329,543,474,1,21.9317
26893,625,300,1303,629,300,1,4
28940,240,140,1009,243,143,1,4.24264
30693,399,525,1273,400,510,1,15.0333
32705,559,459,1305,550,443,1,18.3576
34750,625,300,1394,629,300,1,4
36883,559,140,1291,550,143,1,9.48683
38914,240,140,1241,243,143,1,4.24264
40894,240,459,1947,243,450,1,9.48683
43576,559,459,1228,550,467,1,12.0416
45545,240,140,1194,231,155,1,17.4929
47483,559,459,1304,562,443,1,16.2788
49530,625,300,1327,621,300,1,4
51596,240,140,1400,243,150,1,10.4403
53735,559,140,1156,538,143,1,21.2132
55629,175,299,1303,173,286,1,13.1529
57668,399,525,1069,400,517,1,8.06226
59476,559,140,1008,538,131,1,22.8473
61225,175,299,1905,166,305,1,10.8167
63874,399,525,1275,400,510,1,15.0333
65888,559,459,1221,555,467,1,8.94427
67848,625,300,1419,617,300,1,8
70998,399,525,956,400,517,1,8.06226
72693,400,75,1391,381,84,1,21.0238
74822,625,300,958,621,300,1,4
76524,399,525,1189,386,521,1,13.6015
78457,625,300,1228,605,329,0,35.2278
80256,400,75,1154,398,77,1,2.82843
82147,240,140,1601,231,155,1,17.4929
84482,400,75,1369,386,89,1,19.799
86587,175,299,1542,173,298,1,2.23607
88868,559,459,1136,550,467,1,12.0416
90742,399,525,826,400,521,1,4.12311
92311,559,459,1252,550,462,1,9.48683
94302,625,300,1293,629,298,1,4.47214
96335,559,459,1353,555,443,1,16.4924
98423,625,300,1014,617,300,1,8
100180,240,459,1308,231,474,1,17.4929
102227,400,75,1469,398,96,1,21.095
104435,559,459,1065,555,443,1,16.4924
106243,559,140,1266,538,143,1,21.2132
108247,625,300,1288,621,300,1,4
110274,559,140,1352,550,138,1,9.21954
112364,399,525,910,398,493,1,32.0156
114013,175,299,1417,173,300,1,2.23607
116172,559,459,1226,555,443,1,16.4924
118142,240,459,1213,243,467,1,8.544
120094,175,299,1666,166,298,1,9.05539
122498,400,75,967,381,77,1,19.105
124206,240,140,925,238,150,1,10.198
125871,175,299,1202,166,298,1,9.05539
127811,559,140,1268,514,131,0,45.8912
129653,240,140,1016,250,155,1,18.0278
131411,625,300,970,621,310,1,10.7703
133123,559,140,1768,531,150,1,29.7321
135629,625,300,980,621,281,1,19.4165
137352,399,525,1188,400,510,1,15.0333
139281,240,459,1021,238,474,1,15.1327
141042,175,299,1355,177,300,1,2.23607
143136,399,525,932,400,521,1,4.12311
144807,559,140,1048,538,143,1,21.2132
146593,240,140,884,238,131,1,9.21954
148220,399,525,850,405,540,1,16.1555
149809,625,300,1047,621,300,1,4
151593,240,459,2034,238,443,1,16.1245
154367,400,75,1293,381,77,1,19.105
156398,559,140,1480,531,131,1,29.4109
158620,559,459,1088,555,462,1,5
160450,175,299,1009,184,317,1,20.1246
162201,400,75,1076,381,73,1,19.105
164016,559,459,920,550,450,1,12.7279
165676,400,75,968,386,66,1,16.6433
167386,559,140,954,543,150,1,18.868
169080,175,299,1206,173,300,1,2.23607
171025,559,459,963,550,474,1,17.4929
172725,240,459,1040,250,450,1,13.4536
174507,399,525,833,400,521,1,4.12311
176081,400,75,1832,398,73,1,2.82843
178656,559,140,1384,538,143,1,21.2132
180779,240,140,1349,250,138,1,10.198
182865,240,459,1722,238,431,1,28.0713
185324,559,140,1138,555,131,1,9.84886
