Start Time,Wed Nov 23 11-38-18 2011,Offset,11:38:19 minus 737 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 95, 73, 87, 255, 0, 2, 1, 1, 7224, 10004, 10004,
001,2,2, 54, 11, 39, 104, 0, 2, 1, 1, 17907, 10002, 10002,
001,2,3, 72, 87, 63, 222, 0, 2, 1, 1, 28587, 10003, 10003,
001,2,4, 33, 82, 11, 126, 126, 1, 0, 3, 39268, 6796, 7267,
001,2,5, 71, 73, 35, 179, 179, 1, 0, 3, 49943, 8120, 8985,
001,2,6, 25, 16, 11, 52, 0, 2, 1, 1, 60618, 10003, 10003,
001,2,7, 32, 79, 89, 200, 2, 2, 1, 2, 71299, 9868, 10002,
001,2,8, 85, 87, 85, 257, 257, 1, 1, 4, 81979, 9429, 10004,
001,2,9, 62, 37, 69, 168, 0, 2, 1, 1, 92661, 10003, 10003,
001,2,10, 39, 43, 29, 111, 0, 2, 1, 1, 103343, 10003, 10003,
001,2,11, 95, 13, 32, 140, 140, 1, 0, 3, 114025, 8016, 8545,
001,2,12, 88, 26, 55, 169, 0, 2, 1, 1, 124700, 10002, 10002,
001,2,13, 33, 79, 65, 177, 17, 2, 1, 3, 135380, 8982, 10003,
001,2,14, 85, 67, 31, 183, 0, 2, 1, 1, 146062, 10003, 10003,
001,2,15, 47, 48, 33, 128, 0, 2, 1, 1, 156743, 10003, 10003,
001,2,16, 14, 87, 27, 128, 128, 1, 0, 3, 167424, 9347, 9867,
001,2,17, 48, 88, 45, 181, 0, 2, 1, 1, 178100, 10003, 10003,
001,2,18, 23, 16, 71, 110, 100, 0, 0, 3, 188781, 8221, 8757,
