Start Time,Wed Nov 23 15-27-51 2011,Offset,15:27:52 minus 843 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 8, 3, 3, 14, 14, 1, 0, 2, 18679, 3070, 3669,
001,2,2, 3, 4, 3, 10, 10, 1, 0, 2, 24285, 1840, 2191,
001,2,3, 7, 1, 5, 13, 13, 1, 0, 2, 29943, 1894, 2271,
001,2,4, 1, 4, 5, 10, 10, 1, 0, 2, 35596, 1297, 1610,
001,2,5, 5, 6, 7, 18, 18, 1, 0, 2, 41253, 1760, 2200,
001,2,6, 4, 4, 9, 17, 17, 1, 0, 2, 46909, 2466, 2881,
001,2,7, 4, 3, 9, 16, 16, 1, 0, 2, 52532, 2993, 3874,
001,2,8, 9, 1, 1, 11, 11, 1, 0, 2, 58206, 1081, 1384,
001,2,9, 4, 9, 9, 22, 21, 0, 0, 2, 63878, 2608, 3792,
001,2,10, 6, 2, 4, 12, 12, 1, 0, 2, 69550, 1345, 1632,
001,2,11, 8, 2, 1, 11, 11, 1, 0, 2, 75209, 1165, 1469,
001,2,12, 9, 1, 3, 13, 13, 1, 0, 2, 80881, 1197, 1917,
001,2,13, 4, 7, 6, 17, 17, 1, 0, 2, 86553, 1814, 2222,
001,2,14, 5, 8, 5, 18, 18, 1, 0, 2, 92174, 1761, 2193,
001,2,15, 7, 1, 5, 13, 13, 1, 0, 2, 97829, 1122, 1482,
001,2,16, 2, 6, 7, 15, 15, 1, 0, 2, 103486, 1513, 1802,
001,2,17, 5, 2, 5, 12, 13, 0, 0, 2, 109142, 1906, 2322,
001,2,18, 5, 3, 1, 9, 9, 1, 0, 1, 114798, 1345, 1538,
001,2,19, 7, 6, 7, 20, 20, 1, 0, 2, 120454, 2530, 2817,
001,2,20, 9, 2, 3, 14, 14, 1, 0, 2, 126110, 1467, 1922,
001,2,21, 2, 6, 6, 14, 14, 1, 0, 2, 131782, 1339, 1690,
001,2,22, 4, 1, 4, 9, 9, 1, 0, 1, 137439, 1985, 2217,
001,2,23, 6, 3, 9, 18, 20, 0, 0, 2, 143056, 2097, 2384,
001,2,24, 8, 9, 2, 19, 19, 1, 0, 2, 148712, 1704, 2192,
001,2,25, 6, 3, 9, 18, 17, 0, 0, 2, 154335, 1602, 2290,
001,2,26, 9, 4, 7, 20, 20, 1, 0, 2, 159979, 1909, 2253,
001,2,27, 5, 2, 2, 9, 9, 1, 0, 1, 165636, 1941, 2190,
001,2,28, 4, 7, 9, 20, 20, 1, 0, 2, 171258, 2160, 2455,
001,2,29, 3, 4, 5, 12, 12, 1, 0, 2, 176863, 2243, 2587,
001,2,30, 1, 4, 9, 14, 14, 1, 0, 2, 182536, 2641, 3010,
001,2,31, 9, 4, 5, 18, 18, 1, 0, 2, 188190, 3565, 3924,
001,2,32, 7, 7, 8, 22, 22, 1, 0, 2, 193863, 1724, 2012,
001,2,33, 4, 1, 4, 9, 9, 1, 0, 1, 199535, 1091, 1299,
001,2,34, 2, 6, 4, 12, 12, 1, 0, 2, 205207, 1315, 1643,
001,2,35, 9, 8, 3, 20, 20, 1, 0, 2, 210880, 1545, 1827,
001,2,36, 4, 3, 3, 10, 10, 1, 0, 2, 216486, 1325, 1621,
