"Start Time","Wed Nov 23 15:44:38 2011","15:44:37 minus 418 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4896,240,140,1705,266,185,1,51.9711
8155,625,300,2582,605,298,1,20.0998
12133,240,459,1703,238,426,1,33.0606
15235,400,75,1146,398,108,1,33.0606
17125,559,459,1198,514,395,0,78.2368
18895,400,75,943,398,129,1,54.037
20582,625,300,924,543,298,0,82.0244
22082,559,140,1006,526,141,1,33.0151
23836,400,75,700,398,117,1,42.0476
25283,559,459,1052,531,431,1,39.598
27081,400,75,647,386,108,1,35.8469
28473,240,459,1200,238,498,1,39.0512
30420,399,525,710,386,529,1,13.6015
31873,400,75,656,398,112,1,37.054
33275,559,459,835,538,407,1,56.0803
34853,175,299,753,166,298,1,9.05539
36353,240,459,776,220,467,1,21.5407
37871,559,459,832,550,431,1,29.4109
39450,625,300,618,652,293,1,27.8927
40810,559,459,920,543,431,1,32.249
42472,240,140,836,238,164,1,24.0832
44053,625,300,638,688,270,1,69.7782
45439,175,299,595,231,305,1,56.3205
46778,559,140,681,514,136,1,45.1774
48206,400,75,656,398,124,1,49.0408
49602,399,525,645,400,588,1,63.0079
50989,175,299,551,215,300,1,40.0125
52281,399,525,1172,386,533,1,15.2643
54196,240,459,762,215,498,1,46.3249
55699,625,300,521,664,298,1,39.0512
56962,400,75,1073,398,80,1,5.38516
58778,559,459,1043,538,438,1,29.6985
60565,399,525,601,400,564,1,39.0128
61908,240,140,559,255,136,1,15.5242
63208,559,140,665,538,141,1,21.0238
64615,399,525,1081,400,481,1,44.0114
66441,559,459,966,562,443,1,16.2788
68149,175,299,701,166,300,1,9.05539
69589,240,140,716,292,112,1,59.0593
71049,240,459,782,255,498,1,41.7852
72575,625,300,583,652,270,1,40.3609
73902,559,140,657,538,108,1,38.2753
75786,400,75,713,398,108,1,33.0606
77242,559,459,745,538,467,1,22.4722
78728,175,299,744,173,300,1,2.23607
80213,240,459,772,227,467,1,15.2643
81727,559,140,674,507,141,1,52.0096
83149,400,75,647,398,84,1,9.21954
84542,175,299,734,215,300,1,40.0125
86023,559,140,612,550,112,1,29.4109
87380,240,459,603,231,467,1,12.0416
88725,399,525,604,381,529,1,18.4391
90069,240,459,668,220,498,1,43.8292
91482,559,459,574,507,474,1,54.1202
92798,240,459,542,231,498,1,40.025
94082,625,300,531,610,298,1,15.1327
95358,240,459,590,273,438,1,39.1152
96690,240,140,542,280,129,1,41.4849
97979,625,300,594,617,293,1,10.6301
99314,559,459,588,531,493,1,44.0454
100643,625,300,533,695,237,0,94.1754
102410,240,140,586,320,157,0,81.7863
103568,399,525,604,400,510,1,15.0333
104919,240,140,603,266,152,1,28.6356
106267,559,140,612,531,129,1,30.0832
107622,175,299,666,166,300,1,9.05539
109035,625,300,532,621,270,1,30.2655
110314,399,525,698,386,510,1,19.8494
111751,400,75,550,386,73,1,14.1421
113047,240,459,613,227,474,1,19.8494
114406,625,300,479,617,300,1,8
115625,175,299,524,177,300,1,2.23607
116895,559,140,535,543,141,1,16.0312
118171,559,459,621,543,486,1,31.3847
119538,400,75,548,398,84,1,9.21954
120828,559,459,603,531,486,1,38.8973
122171,240,459,674,255,467,1,17
123590,399,525,557,400,540,1,15.0333
124889,625,300,700,562,300,1,63
126331,240,140,716,280,124,1,43.0813
127789,240,459,665,262,438,1,30.4138
129199,559,140,507,555,141,1,4.12311
130448,399,525,543,386,588,1,64.3273
131737,625,300,638,567,298,1,58.0345
133115,400,75,568,374,73,1,26.0768
134427,625,300,546,617,305,1,9.43398
135715,175,299,498,135,300,1,40.0125
136962,240,459,612,280,450,1,41
138319,559,140,542,543,124,1,22.6274
139608,399,525,635,405,533,1,10
140988,400,75,498,386,96,1,25.2389
142232,559,459,543,562,510,1,51.0882
143522,559,140,576,519,129,1,41.4849
144840,240,140,525,231,96,1,44.911
146107,399,525,523,400,450,0,75.0067
147208,240,140,559,255,148,1,17
148510,399,525,535,400,540,1,15.0333
149790,559,459,647,538,462,1,21.2132
151179,175,299,494,215,298,1,40.0125
152418,559,140,594,538,148,1,22.4722
153752,240,140,567,255,108,1,35.3412
155062,399,525,481,405,548,1,23.7697
156286,240,459,671,250,419,1,41.2311
157702,175,299,559,201,298,1,26.0192
159006,625,300,540,586,298,1,39.0512
160295,559,140,587,586,124,1,31.3847
161626,400,75,462,381,73,1,19.105
162835,240,140,533,255,124,1,21.9317
164115,400,75,472,400,61,1,14
165328,559,140,478,531,108,1,42.5206
166548,175,299,467,201,317,1,31.6228
167755,400,75,489,400,84,1,9
168991,399,525,443,400,517,1,8.06226
170905,240,140,514,255,108,1,35.3412
172163,625,300,470,671,300,1,46
173379,559,459,533,555,493,1,34.2345
174656,240,459,448,250,533,0,74.6726
175678,240,140,524,316,169,0,81.3449
176781,400,75,586,400,96,1,21
178113,240,459,524,262,505,1,50.9902
179382,625,300,498,695,298,0,70.0286
180454,399,525,733,386,443,0,83.0241
181765,400,75,621,386,112,1,39.5601
183133,240,140,796,292,148,1,52.6118
184670,559,140,744,538,141,1,21.0238
