"Start Time","Wed Nov 23 15:48:16 2011","15:48:15 minus 204 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
3955,240,459,1106,238,443,0,16.1245
5633,399,525,1202,400,505,0,20.025
7409,240,140,1883,231,148,1,12.0416
10031,240,459,1644,238,450,1,9.21954
12416,559,459,2402,562,455,1,5
15556,399,525,1081,398,517,1,8.06226
17379,400,75,1303,398,80,1,5.38516
19421,399,525,805,400,517,1,8.06226
20964,240,459,2074,231,474,0,17.4929
23614,175,299,1457,173,300,1,2.23607
25814,559,459,1882,555,467,1,8.94427
28437,625,300,911,629,300,1,4
30089,240,140,1137,243,164,0,24.1868
31799,399,525,1299,405,533,1,10
33836,559,459,2079,567,443,0,17.8885
36488,625,300,1093,617,298,1,8.24621
38322,559,140,1882,562,141,1,3.16228
40945,240,140,1273,262,141,0,22.0227
42791,240,459,993,238,455,1,4.47214
44527,559,459,1246,562,443,0,16.2788
46343,240,140,959,238,136,1,4.47214
48046,559,459,1561,550,443,0,18.3576
50177,625,300,1220,633,288,0,14.4222
51969,240,140,892,227,129,0,17.0294
53436,559,140,1047,550,152,0,15
55059,175,299,853,166,300,1,9.05539
56652,399,525,1218,405,517,1,10
58609,559,140,1357,543,136,0,16.4924
61026,175,299,1332,196,298,0,21.0238
62931,399,525,1139,400,529,1,4.12311
64809,559,459,1547,562,450,1,9.48683
67098,625,300,1250,605,288,0,23.3238
68921,399,525,870,398,521,1,4.12311
70534,400,75,991,405,80,1,7.07107
72267,625,300,848,629,310,1,10.7703
73851,399,525,2016,386,498,0,29.9666
76440,625,300,829,610,298,0,15.1327
77845,400,75,1065,400,68,1,7
79651,240,140,1510,231,141,1,9.05539
81900,400,75,1098,381,84,0,21.0238
83569,175,299,1837,161,298,0,14.0357
85979,559,459,1641,562,450,1,9.48683
88358,399,525,1193,400,517,1,8.06226
90292,559,459,1184,555,450,1,9.84886
92216,625,300,999,633,298,1,8.24621
93954,559,459,787,567,455,1,8.94427
95483,625,300,707,617,298,1,8.24621
98085,240,459,1364,243,467,1,8.544
100191,400,75,1017,386,73,0,14.1421
101780,559,459,932,555,474,0,15.5242
103287,559,140,870,543,152,0,20
104729,625,300,1096,633,288,0,14.4222
106401,559,140,1174,567,129,1,13.6015
108318,399,525,792,398,498,0,27.0185
109683,175,299,1099,173,298,1,2.23607
111526,559,459,1787,555,462,1,5
114707,240,459,1449,243,450,1,9.48683
116894,175,299,1222,184,300,1,9.05539
118855,400,75,1462,398,84,1,9.21954
121056,240,140,1118,255,129,0,18.6011
122746,175,299,1455,177,298,1,2.23607
124940,559,140,1563,543,141,0,16.0312
127076,240,140,1004,231,136,1,9.84886
128819,625,300,834,605,277,0,30.4795
130228,559,140,748,562,157,0,17.2627
131546,625,300,935,652,281,0,33.0151
133051,399,525,1171,398,517,1,8.06226
134961,240,459,1009,250,443,0,18.868
136547,175,299,878,161,300,0,14.0357
138001,399,525,1057,400,486,0,39.0128
139628,559,140,1074,562,152,1,12.3693
141442,240,140,1048,250,141,1,10.0499
143232,399,525,1029,400,540,0,15.0333
144832,625,300,1312,593,298,0,32.0624
146714,240,459,1832,220,450,0,21.9317
149117,400,75,1140,398,84,1,9.21954
150996,559,140,1716,562,141,1,3.16228
153452,559,459,1266,543,467,0,17.8885
155293,175,299,710,189,298,0,14.0357
156575,400,75,1049,381,68,0,20.2485
158199,559,459,1121,562,450,1,9.48683
160059,400,75,1717,398,84,1,9.21954
162513,559,140,1081,543,148,0,17.8885
164171,175,299,815,173,277,0,22.0907
165559,559,459,1875,543,443,0,22.6274
168006,240,459,1940,231,455,1,9.84886
170685,399,525,1009,400,533,1,8.06226
172435,400,75,1140,398,73,1,2.82843
174315,559,140,1959,567,136,1,8.94427
177016,240,140,1459,250,148,1,12.8062
179211,240,459,3136,231,455,1,9.84886
183665,559,140,1582,562,129,1,11.4018
