"Start Time","Wed Nov 23 16:11:37 2011","16:11:36 minus 77 ms","Subject","001","N-back",1

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5730,"suite",0,2404,"<timeout>",1
8138,"pond",0,488,"3",1
10547,"folk",0,446,"3",1
12955,"suite",0,425,"3",1
15364,"boulder",0,430,"3",1
17774,"boulder",1,524,"1",1
20183,"folk",0,460,"3",1
22592,"folk",1,406,"1",1
25002,"wedge",0,425,"3",1
27411,"mineral",0,496,"3",1
29820,"mineral",1,463,"1",1
32229,"suite",0,2404,"<timeout>",0
34637,"folk",0,630,"3",1
37045,"folk",1,429,"1",1
39453,"suite",0,485,"3",1
41862,"wedge",0,427,"3",1
44271,"pond",0,420,"3",1
46681,"pond",1,659,"3",0
49090,"actress",0,529,"3",1
51500,"actress",1,478,"1",1
53908,"actress",1,462,"1",1
56317,"folk",0,404,"3",1
58726,"folk",1,430,"1",1
61135,"actress",0,419,"3",1
63545,"folk",0,498,"3",1
65953,"wedge",0,406,"3",1
68362,"wedge",1,425,"1",1
70771,"wedge",1,417,"1",1
73181,"pond",0,486,"3",1
75589,"wedge",0,535,"3",1
77999,"dentist",0,477,"3",1
80409,"dentist",1,555,"1",1
82817,"dentist",1,483,"1",1
85227,"boulder",0,416,"3",1
87634,"boulder",1,443,"1",1
90045,"boulder",1,456,"1",1
92455,"mineral",0,461,"3",1
94863,"actress",0,519,"3",1
97273,"dentist",0,547,"3",1
99683,"mineral",0,426,"3",1
102092,"boulder",0,472,"3",1
104501,"mineral",0,422,"3",1
106909,"boulder",0,472,"3",1
109318,"wedge",0,438,"3",1
111726,"mineral",0,534,"3",1
114135,"mineral",1,437,"1",1
116544,"suite",0,436,"3",1
118953,"suite",1,453,"1",1
121362,"dentist",0,574,"3",1
123772,"actress",0,2404,"<timeout>",0
126180,"dentist",0,405,"3",1
128590,"pond",0,404,"3",1
130998,"wedge",0,471,"3",1
133407,"wedge",1,694,"1",1
135816,"mineral",0,430,"3",1
138225,"mineral",1,468,"1",1
140633,"suite",0,437,"3",1
143044,"actress",0,418,"3",1
145454,"dentist",0,471,"3",1
147863,"dentist",1,552,"1",1
150272,"folk",0,541,"3",1
152682,"pond",0,445,"3",1
155092,"pond",1,425,"1",1
157501,"pond",1,472,"1",1
159909,"boulder",0,433,"3",1
162318,"actress",0,920,"3",1
164728,"actress",1,494,"1",1
167138,"suite",0,486,"3",1
169548,"suite",1,571,"1",1
171958,"suite",1,424,"1",1
174368,"boulder",0,438,"3",1
176776,"dentist",0,543,"3",1
179185,"pond",0,509,"3",1
181593,"suite",0,405,"3",1
184002,"pond",0,406,"3",1
