"Start Time","Thu Nov 24 08:55:04 2011","08:55:03 minus 77 ms","Subject","001","N-back",2

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
5458,"desk",0,510,"3",1
7868,"gasoline",0,541,"3",1
10277,"gasoline",1,1299,"3",1
12687,"extract",0,546,"3",1
15097,"schooner",0,592,"3",1
17506,"extract",2,846,"1",1
19917,"extract",1,1219,"1",0
22326,"alcohol",0,499,"3",1
24736,"brick",0,463,"3",1
27146,"alcohol",2,447,"1",1
29555,"extract",0,479,"3",1
31965,"gasoline",0,500,"3",1
34376,"extract",2,760,"1",1
36785,"brick",0,462,"3",1
39194,"brick",1,734,"3",1
41604,"saddle",0,765,"3",1
44013,"brick",2,420,"1",1
46422,"alcohol",0,516,"3",1
48832,"brick",2,522,"1",1
51242,"alcohol",2,544,"3",0
53652,"extract",0,629,"3",1
56062,"gasoline",0,463,"3",1
58472,"brick",0,482,"3",1
60881,"gasoline",2,561,"3",0
63291,"brick",2,405,"3",0
65700,"saddle",0,422,"3",1
68110,"saddle",1,979,"3",1
70519,"schooner",0,587,"3",1
72930,"aunt",0,504,"3",1
75340,"gasoline",0,670,"3",1
77751,"aunt",2,557,"3",0
80161,"gasoline",2,696,"3",0
82571,"saddle",0,456,"3",1
84981,"gasoline",2,509,"3",0
87390,"alcohol",0,509,"3",1
89800,"alcohol",1,850,"3",1
92211,"aunt",0,488,"3",1
94620,"desk",0,463,"3",1
97030,"desk",1,804,"3",1
99440,"saddle",0,443,"3",1
101849,"desk",2,833,"1",1
104258,"saddle",2,513,"3",0
106670,"aunt",0,663,"3",1
109079,"extract",0,501,"3",1
111489,"aunt",2,817,"1",1
113898,"extract",2,497,"3",0
116306,"aunt",2,673,"1",1
118715,"desk",0,457,"3",1
121126,"extract",0,964,"1",0
123536,"schooner",0,468,"3",1
125945,"desk",0,547,"3",1
128354,"alcohol",0,522,"3",1
130764,"aunt",0,575,"3",1
133173,"aunt",1,791,"1",0
135583,"gasoline",0,477,"3",1
137993,"desk",0,523,"3",1
140402,"aunt",0,745,"1",0
142811,"desk",2,669,"3",0
145221,"brick",0,511,"3",1
147630,"saddle",0,510,"3",1
150039,"gasoline",0,534,"3",1
152449,"saddle",2,619,"1",1
154859,"schooner",0,529,"3",1
157269,"saddle",2,1366,"1",1
159678,"schooner",2,798,"1",1
162088,"brick",0,557,"3",1
164498,"schooner",2,587,"1",1
166907,"schooner",1,681,"1",0
169317,"desk",0,504,"3",1
171727,"schooner",2,759,"1",1
174136,"desk",2,407,"3",0
176546,"alcohol",0,658,"3",1
178954,"schooner",0,1226,"3",1
181363,"alcohol",2,737,"1",1
183772,"desk",0,641,"3",1
