"Start Time","Thu Nov 24 10:57:29 2011","10:57:28 minus 942 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4969,240,140,1220,266,169,1,38.9487
6932,625,300,1129,617,300,1,8
8802,240,459,1020,231,443,1,18.3576
10566,400,75,740,400,101,1,26
12049,559,459,1158,538,438,1,29.6985
13949,400,75,973,398,96,1,21.095
15667,625,300,849,586,270,1,49.2037
17252,559,140,789,543,152,1,20
18787,400,75,779,398,80,1,5.38516
20314,559,459,1032,555,462,1,5
22086,400,75,726,398,61,1,14.1421
23559,240,459,1193,243,438,1,21.2132
25497,399,525,937,400,540,1,15.0333
27181,400,75,1052,400,68,1,7
28975,559,459,1123,543,438,1,26.4008
30841,175,299,890,166,340,1,41.9762
32479,240,459,999,220,443,1,25.6125
34223,559,459,860,543,467,1,17.8885
35823,625,300,826,617,333,1,33.9559
37396,559,459,836,562,431,1,28.1603
38974,240,140,929,250,176,1,37.3631
40650,625,300,1102,610,310,1,18.0278
42496,175,299,805,184,310,1,14.2127
44041,559,140,1104,526,164,1,40.8044
45886,400,75,752,398,89,1,14.1421
47379,399,525,1060,386,529,1,13.6015
49181,175,299,1214,189,300,1,14.0357
51137,399,525,955,400,540,1,15.0333
52833,240,459,774,215,493,1,42.2019
54348,625,300,855,617,298,1,8.24621
55946,400,75,892,398,80,1,5.38516
57586,559,459,1181,543,443,1,22.6274
59512,399,525,772,417,498,1,32.45
61027,240,140,850,250,148,1,12.8062
62619,559,140,1029,538,148,1,22.4722
64395,399,525,936,398,540,1,15.0333
66073,559,459,814,562,443,1,16.2788
67627,175,299,687,177,298,1,2.23607
69058,240,140,815,231,141,1,9.05539
70621,240,459,1029,238,486,1,27.074
72396,625,300,850,617,300,1,8
73989,559,140,981,567,169,1,30.0832
75711,400,75,861,398,68,1,7.28011
77317,559,459,1066,555,474,1,15.5242
79122,175,299,681,135,298,1,40.0125
80544,240,459,755,250,493,1,35.4401
82043,559,140,910,562,141,1,3.16228
83701,400,75,656,398,84,1,9.21954
85104,175,299,735,215,300,1,40.0125
86586,559,140,659,538,164,1,31.8904
87986,240,459,665,280,438,1,45.1774
89399,399,525,913,400,533,1,8.06226
91054,240,459,657,250,443,1,18.868
92459,559,459,863,543,419,1,43.0813
94063,240,459,683,243,467,1,8.544
95490,625,300,776,610,298,1,15.1327
97008,240,459,990,220,481,1,29.7321
98744,240,140,891,231,164,1,25.632
100946,625,300,888,581,298,1,44.0454
102576,559,459,990,550,431,1,29.4109
104313,625,300,700,640,298,1,15.1327
105754,240,140,803,243,141,1,3.16228
107296,399,525,877,400,533,1,8.06226
108915,240,140,796,231,141,1,9.05539
110459,559,140,865,538,176,1,41.6773
112065,175,299,684,215,300,1,40.0125
113497,625,300,665,621,298,1,4.47214
114900,399,525,779,398,517,1,8.06226
116420,400,75,666,433,80,1,33.3766
117832,240,459,884,220,493,1,39.4462
119462,625,300,960,629,298,1,4.47214
121164,175,299,744,166,348,1,49.8197
122655,559,140,932,562,129,1,11.4018
124331,559,459,823,555,438,1,21.3776
125896,400,75,670,381,80,1,19.6469
127313,559,459,876,550,438,1,22.8473
128930,240,459,706,238,438,1,21.095
130381,399,525,665,400,548,1,23.0217
131793,625,300,681,640,298,1,15.1327
133220,240,140,831,250,124,1,18.868
134791,240,459,829,250,474,1,18.0278
136362,559,140,846,531,148,1,29.1204
137949,399,525,946,393,533,1,10
139642,625,300,938,593,281,1,37.2156
141320,400,75,946,398,84,1,9.21954
143007,625,300,1051,621,298,1,4.47214
144802,175,299,645,166,300,1,9.05539
146190,240,459,857,238,462,1,3.60555
147794,559,140,664,550,124,1,18.3576
149202,399,525,963,398,529,1,4.12311
150905,400,75,695,398,108,1,33.0606
152341,559,459,985,543,474,1,21.9317
154068,559,140,726,562,148,1,8.544
155541,240,140,951,215,148,1,26.2488
157235,399,525,902,400,533,1,8.06226
158877,240,140,775,227,136,1,13.6015
160394,399,525,901,400,529,1,4.12311
162036,559,459,934,543,474,1,21.9317
163711,175,299,662,149,300,1,26.0192
165114,559,140,823,543,129,1,19.4165
166679,240,140,708,231,129,1,14.2127
168128,399,525,903,400,533,1,8.06226
169779,240,459,709,250,474,1,18.0278
171236,175,299,640,173,298,1,2.23607
172622,625,300,1079,567,298,1,58.0345
174443,559,140,752,543,152,1,20
175940,400,75,665,398,84,1,9.21954
177353,240,140,769,243,129,1,11.4018
178867,400,75,647,400,61,1,14
180259,559,140,657,550,136,1,9.84886
181664,175,299,724,215,300,1,40.0125
183130,400,75,621,400,73,1,2
184492,399,525,943,400,498,1,27.0185
