Start Time,Thu Nov 24 12-56-25 2011,Offset,12:56:26 minus 937 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 8, 3, 3, 14, 14, 1, 0, 2, 21754, 2843, 3956,
001,2,2, 3, 4, 3, 10, 10, 1, 0, 2, 27377, 2333, 2765,
001,2,3, 7, 1, 5, 13, 13, 1, 0, 2, 33014, 2575, 3071,
001,2,4, 1, 4, 5, 10, 10, 1, 0, 2, 38670, 1840, 2265,
001,2,5, 5, 6, 7, 18, 18, 1, 0, 2, 44293, 1969, 2561,
001,2,6, 4, 4, 9, 17, 17, 1, 0, 2, 49916, 1843, 2531,
001,2,7, 4, 3, 9, 16, 16, 1, 0, 2, 55571, 2012, 2508,
001,2,8, 9, 1, 1, 11, 11, 1, 0, 2, 61244, 1580, 2019,
001,2,9, 4, 9, 9, 22, 22, 1, 0, 2, 66899, 1987, 2395,
001,2,10, 6, 2, 4, 12, 12, 1, 0, 2, 72555, 2028, 2492,
001,2,11, 8, 2, 1, 11, 11, 1, 0, 2, 78227, 2085, 2501,
001,2,12, 9, 1, 3, 13, 13, 1, 0, 2, 83899, 1612, 2036,
001,2,13, 4, 7, 6, 17, 1, 2, 1, 4, 89555, 1964, 5003,
001,2,14, 5, 8, 5, 18, 18, 1, 0, 2, 95235, 1844, 2373,
001,2,15, 7, 1, 5, 13, 13, 1, 0, 2, 100908, 1581, 1979,
001,2,16, 2, 6, 7, 15, 15, 1, 0, 2, 106578, 1734, 2238,
001,2,17, 5, 2, 5, 12, 12, 1, 0, 2, 112251, 1460, 1878,
001,2,18, 5, 3, 1, 9, 9, 1, 0, 1, 117925, 1932, 2308,
001,2,19, 7, 6, 7, 20, 20, 1, 0, 2, 123596, 1780, 2204,
001,2,20, 9, 2, 3, 14, 14, 1, 0, 2, 129219, 1669, 2157,
001,2,21, 2, 6, 6, 14, 14, 1, 0, 2, 134875, 2222, 2654,
001,2,22, 4, 1, 4, 9, 9, 1, 0, 1, 140549, 1380, 1733,
001,2,23, 6, 3, 9, 18, 18, 1, 0, 2, 146203, 2054, 2566,
001,2,24, 8, 9, 2, 19, 19, 1, 0, 2, 151825, 1889, 2433,
001,2,25, 6, 3, 9, 18, 18, 1, 0, 2, 157498, 1687, 2216,
001,2,26, 9, 4, 7, 20, 20, 1, 0, 2, 163121, 2658, 3008,
001,2,27, 5, 2, 2, 9, 9, 1, 0, 1, 168727, 2043, 2354,
001,2,28, 4, 7, 9, 20, 20, 1, 0, 2, 174399, 1987, 2364,
001,2,29, 3, 4, 5, 12, 12, 1, 0, 2, 180022, 2364, 3213,
001,2,30, 1, 4, 9, 14, 14, 1, 0, 2, 185676, 2022, 2454,
001,2,31, 9, 4, 5, 18, 18, 1, 0, 2, 191300, 1487, 1982,
001,2,32, 7, 7, 8, 22, 23, 0, 0, 2, 196956, 3359, 3767,
001,2,33, 4, 1, 4, 9, 9, 1, 0, 1, 202617, 1394, 1713,
001,2,34, 2, 6, 4, 12, 12, 1, 0, 2, 208272, 1491, 1938,
001,2,35, 9, 8, 3, 20, 20, 1, 0, 2, 213944, 2227, 2602,
001,2,36, 4, 3, 3, 10, 10, 1, 0, 2, 219616, 3035, 3412,
