"Start Time","Thu Nov 24 13:10:02 2011","13:10:01 minus 70 ms","Subject","001","N-back",3

"Presentation Time","Stimulus","N-back","Response Time","Response","Is Correct"
7187,"hinge",0,1079,"3",1
9597,"germ",0,861,"3",1
12008,"shrine",0,714,"3",1
14418,"germ",2,936,"3",1
16827,"shrine",2,2404,"<timeout>",0
19235,"sulphur",0,959,"3",1
21644,"germ",3,1630,"3",0
24054,"producer",0,1236,"3",1
26465,"sulphur",3,769,"1",1
28875,"bush",0,760,"3",1
31285,"hinge",0,1022,"3",1
33695,"cocktail",0,955,"3",1
36104,"bush",3,1315,"3",0
38515,"hunting",0,1624,"3",1
40924,"shrine",0,1159,"3",1
43333,"germ",0,982,"3",1
45743,"germ",1,1268,"3",1
48153,"producer",0,1170,"3",1
50563,"producer",1,1224,"3",1
52973,"germ",3,1822,"3",0
55383,"cocktail",0,1108,"3",1
57792,"producer",3,1228,"1",1
60201,"sulphur",0,1034,"3",1
62610,"cocktail",3,921,"1",1
65020,"producer",3,1032,"3",0
67429,"producer",1,1247,"3",1
69838,"cocktail",3,1269,"3",0
72247,"hunting",0,1245,"3",1
74656,"producer",3,915,"1",1
77065,"hunting",2,1963,"3",1
79475,"germ",0,1553,"3",1
81884,"hunting",2,1448,"1",0
84293,"cocktail",0,1423,"3",1
86702,"germ",3,1414,"3",0
89112,"hunting",3,1636,"3",0
91521,"hinge",0,1124,"3",1
93932,"bush",0,1512,"3",1
96341,"hunting",3,1223,"3",0
98750,"producer",0,1543,"3",1
101160,"bush",3,1757,"3",0
103569,"bush",1,1276,"3",1
105979,"shrine",0,1538,"3",1
108390,"shrine",1,1519,"3",1
110800,"hunting",0,2229,"1",0
113208,"hinge",0,1213,"3",1
115617,"germ",0,980,"3",1
118026,"hinge",2,1107,"3",1
120436,"sulphur",0,969,"3",1
122845,"hinge",2,776,"3",1
125254,"sulphur",2,1424,"3",1
127664,"germ",0,1237,"3",1
130073,"hinge",3,884,"1",1
132482,"bush",0,1276,"3",1
134893,"bush",1,1066,"3",1
137302,"hinge",3,1183,"1",1
139712,"producer",0,1142,"3",1
142121,"bush",3,1324,"3",0
144530,"hunting",0,948,"3",1
146940,"hinge",0,1010,"3",1
149351,"shrine",0,863,"3",1
151761,"hunting",3,837,"3",0
154170,"hinge",3,1612,"3",0
156579,"shrine",3,1308,"3",0
158988,"sulphur",0,1506,"3",1
161398,"sulphur",1,945,"3",1
163808,"shrine",3,1686,"1",1
166217,"bush",0,1021,"3",1
168626,"sulphur",3,1196,"3",0
171035,"cocktail",0,964,"3",1
173444,"cocktail",1,1283,"3",1
175854,"sulphur",3,840,"1",1
178263,"shrine",0,872,"3",1
180672,"cocktail",3,1551,"1",1
183082,"cocktail",1,821,"1",0
185491,"shrine",3,1116,"3",0
