"Start Time","Thu Nov 24 13:14:40 2011","13:14:39 minus 988 ms","Subject","001","Target Distance",225,"Radius",75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
5621,240,140,1535,250,164,1,26
7898,625,300,1706,567,281,1,61.0328
10341,240,459,1193,234,474,1,16.1555
12282,400,75,931,400,108,1,33
13954,559,459,1069,550,443,1,18.3576
15765,400,75,828,377,101,1,34.7131
17340,625,300,927,617,270,1,31.0483
19010,559,140,759,507,112,1,59.0593
20510,400,75,701,388,89,1,18.4391
21959,559,459,839,555,383,0,76.1052
23372,400,75,753,398,73,1,2.82843
24871,240,459,726,234,510,1,51.3517
26343,399,525,771,417,474,1,54.0833
27862,400,75,639,398,89,1,14.1421
29247,559,459,647,581,407,1,56.4624
30632,175,299,624,234,300,1,59.0085
32001,240,459,673,276,419,1,53.8145
33423,559,459,527,495,395,0,90.5097
34525,625,300,805,683,298,1,58.0345
36071,559,459,707,543,474,1,21.9317
37522,240,140,776,271,129,1,32.8938
39040,625,300,718,629,300,1,4
40505,175,299,727,175,305,1,6
41970,559,140,754,550,164,1,25.632
43466,400,75,719,417,84,1,19.2354
44926,399,525,745,400,540,1,15.0333
46413,175,299,781,154,317,1,27.6586
47941,399,525,886,405,595,0,70.2567
49886,240,459,832,271,426,1,45.2769
51465,625,300,719,629,298,1,4.47214
52923,400,75,657,400,108,1,33
54327,559,459,681,550,431,1,29.4109
55748,399,525,779,398,517,1,8.06226
57273,240,140,757,264,141,1,24.0208
58772,559,140,709,519,136,1,40.1995
60226,399,525,674,398,548,1,23.0217
61647,559,459,691,543,419,1,43.0813
63085,175,299,603,227,317,1,55.0273
64430,240,140,555,280,117,1,46.1411
65732,240,459,683,234,481,1,22.8035
67157,625,300,611,660,298,1,35.0571
68509,559,140,646,543,148,1,17.8885
69897,400,75,489,398,253,0,178.011
70965,559,459,867,555,467,1,8.94427
72577,175,299,849,184,300,1,9.05539
74173,240,459,736,205,498,1,52.4023
75652,559,140,679,514,152,1,46.5725
77072,400,75,656,417,84,1,19.2354
78470,175,299,610,191,305,1,17.088
79827,559,140,566,550,136,1,9.84886
81132,240,459,666,238,474,1,15.1327
82540,399,525,634,400,419,0,106.005
83750,240,459,762,264,467,1,25.2982
85254,559,459,774,574,443,1,21.9317
86769,240,459,758,234,517,1,58.3095
88273,625,300,648,610,298,1,15.1327
89667,240,459,682,250,419,1,41.2311
91090,240,140,780,250,164,1,26
92618,625,300,790,621,281,1,19.4165
94153,559,459,816,550,450,1,12.7279
95712,625,300,717,567,281,1,61.0328
97174,240,140,815,259,157,1,25.4951
98731,399,525,786,400,540,1,15.0333
100259,240,140,752,259,136,1,19.4165
101757,559,140,745,538,157,1,27.0185
103246,175,299,718,180,300,1,5.09902
104704,625,300,673,629,281,1,19.4165
106121,399,525,638,398,510,1,15.0333
107506,400,75,626,398,112,1,37.054
108876,240,459,656,238,467,1,8.24621
110279,625,300,691,629,270,1,30.2655
111715,175,299,603,191,310,1,19.4165
113065,559,140,559,562,124,1,16.2788
114365,559,459,636,531,419,1,48.8262
115742,400,75,658,398,108,1,33.0606
117148,559,459,683,581,438,1,30.4138
118573,240,459,739,297,431,1,63.5059
120053,399,525,683,405,521,1,7.2111
121478,625,300,772,605,298,1,20.0998
122995,240,140,682,287,169,1,55.2268
124424,240,459,663,238,493,1,34.0588
125826,559,140,663,507,148,1,52.6118
127235,399,525,612,400,517,1,8.06226
128593,625,300,626,617,277,1,24.3516
129963,400,75,621,388,108,1,35.1141
131328,625,300,594,629,265,1,35.2278
132665,175,299,649,196,300,1,21.0238
134053,240,459,621,264,486,1,36.1248
135420,559,140,555,519,152,1,41.7612
136716,399,525,692,398,486,1,39.0128
138155,400,75,375,398,298,0,223.009
139594,559,459,779,543,414,1,47.7598
141115,559,140,593,550,141,1,9.05539
142453,240,140,768,264,124,1,28.8444
143964,399,525,700,405,521,1,7.2111
145406,240,140,727,287,157,1,49.98
146881,399,525,717,405,548,1,23.7697
148340,559,459,736,555,443,1,16.4924
149817,175,299,729,175,300,1,1
151291,559,140,751,538,141,1,21.0238
152783,240,140,761,255,117,1,27.4591
154287,399,525,726,405,455,0,70.2567
155592,240,459,964,234,474,1,16.1555
157299,175,299,694,175,298,1,1
158735,625,300,797,605,277,1,30.4795
160278,559,140,1014,526,108,1,45.9674
162034,400,75,674,398,101,1,26.0768
163454,240,140,787,255,129,1,18.6011
164984,400,75,772,405,80,1,7.07107
166498,559,140,868,555,84,1,56.1427
168114,175,299,709,180,300,1,5.09902
169571,400,75,674,421,101,1,33.4215
170988,399,525,762,398,505,1,20.025
172494,240,140,952,264,176,1,43.2666
174191,625,300,673,629,237,1,63.1269
175613,559,459,974,538,426,1,39.1152
177331,240,459,801,234,455,1,7.2111
178872,240,140,734,255,136,1,15.5242
180354,400,75,690,400,108,1,33
181790,240,459,753,222,443,1,24.0832
183288,625,300,777,633,265,1,35.9026
184806,399,525,823,400,564,1,39.0128
