"Start Time","Thu Nov 24 13:18:27 2011","13:18:26 minus 367 ms","Subject","001","Target Distance",225,"Radius",18.75

"Presentation Time","Stimulus x","y","Response Time","Response x","y","Is Inside","Centroid Distance"
4751,240,459,2126,234,474,0,16.1555
7936,399,525,2029,400,517,1,8.06226
11441,240,140,1792,238,141,1,2.23607
13972,240,459,3560,234,462,1,6.7082
18276,559,459,2856,550,450,1,12.7279
21875,399,525,1275,400,510,0,15.0333
23726,400,75,1831,393,73,1,7.28011
26869,399,525,2150,400,517,1,8.06226
30242,240,459,2994,238,443,0,16.1245
33811,175,299,1366,180,300,1,5.09902
35917,559,459,2495,543,443,0,22.6274
38987,625,300,1251,629,298,1,4.47214
40977,240,140,1690,234,141,1,6.08276
43404,399,525,1207,400,521,1,4.12311
45354,559,459,2803,555,443,0,16.4924
49385,625,300,1154,633,298,1,8.24621
51276,559,140,1654,562,141,1,3.16228
53667,240,140,1578,238,136,1,4.47214
55985,240,459,2867,238,450,1,9.21954
59594,559,459,1944,555,443,0,16.4924
62107,240,140,1459,238,141,1,2.23607
64299,559,459,1755,562,455,1,5
66793,625,300,1523,621,298,1,4.47214
69054,240,140,1341,238,141,1,2.23607
71129,559,140,2290,555,129,1,11.7047
74159,175,299,1820,184,300,1,9.05539
76715,399,525,1521,400,521,1,4.12311
78976,559,140,1374,555,141,1,4.12311
81087,175,299,1376,175,300,1,1
83202,399,525,1202,400,521,1,4.12311
85143,559,459,2615,562,450,1,9.48683
88500,625,300,1338,629,300,1,4
90577,399,525,1189,400,521,1,4.12311
92504,400,75,2093,398,73,1,2.82843
95335,625,300,1021,605,300,0,20
96932,399,525,1898,400,521,1,4.12311
99567,625,300,1351,629,298,1,4.47214
101655,400,75,2316,400,73,1,2
104710,240,140,1312,238,129,1,11.1803
106760,400,75,1816,400,80,1,5
109312,175,299,1119,175,300,1,1
111169,559,459,2731,555,450,1,9.84886
114643,399,525,1763,400,521,1,4.12311
117145,559,459,2838,562,450,1,9.48683
120725,625,300,1579,621,300,1,4
123044,559,459,1529,555,467,1,8.94427
125309,625,300,1401,621,300,1,4
127446,240,459,3150,238,438,0,21.095
131657,400,75,2092,398,73,1,2.82843
134492,559,459,3373,538,450,0,22.8473
138441,559,140,1644,555,136,1,5.65685
140823,625,300,1359,621,300,1,4
142920,559,140,1565,562,141,1,3.16228
145223,399,525,1318,398,529,1,4.12311
147280,175,299,1800,168,298,1,7.07107
149821,559,459,1794,562,450,1,9.48683
152354,240,459,1508,238,467,1,8.24621
154603,175,299,1206,168,298,1,7.07107
156546,400,75,1478,400,129,0,54
158594,240,140,1318,234,129,1,12.53
160651,175,299,1151,180,281,0,18.6815
162379,559,140,1499,555,136,1,5.65685
164617,240,140,1206,238,136,1,4.47214
166562,625,300,2392,629,298,1,4.47214
169694,559,140,1466,567,129,1,13.6015
171899,625,300,1412,621,298,1,4.47214
174053,399,525,1173,398,510,0,15.0333
175799,240,459,2465,238,443,0,16.1245
178839,175,299,1187,180,300,1,5.09902
180765,399,525,1307,400,521,1,4.12311
182810,559,140,1287,555,141,1,4.12311
