Start Time,Thu Nov 24 13-38-26 2011,Offset,13:38:27 minus 1079 ms
sub, cond, trial, #1, #2, #3, sum, resp, corr, toolong, clicks, starttime, firstclick, completetime,
001,2,1, 5, 6, 6, 17, 17, 1, 0, 2, 6161, 3238, 3861,
001,2,2, 9, 3, 5, 17, 17, 1, 0, 2, 11833, 2165, 2694,
001,2,3, 7, 3, 4, 14, 14, 1, 0, 2, 17456, 2710, 3160,
001,2,4, 7, 5, 7, 19, 19, 1, 0, 2, 23129, 2542, 3031,
001,2,5, 9, 3, 3, 15, 15, 1, 0, 2, 28802, 1886, 2294,
001,2,6, 3, 1, 2, 6, 6, 1, 0, 1, 34449, 1615, 1903,
001,2,7, 3, 1, 7, 11, 11, 1, 0, 2, 40113, 1743, 2128,
001,2,8, 2, 6, 1, 9, 9, 1, 0, 1, 45769, 2007, 2295,
001,2,9, 1, 4, 8, 13, 13, 1, 0, 2, 51441, 3734, 4119,
001,2,10, 4, 8, 4, 16, 16, 1, 0, 2, 57113, 1823, 2182,
001,2,11, 4, 9, 6, 19, 19, 1, 0, 2, 62769, 1872, 2319,
001,2,12, 8, 3, 3, 14, 14, 1, 0, 2, 68441, 1856, 2311,
001,2,13, 3, 5, 1, 9, 9, 1, 0, 1, 74064, 3569, 3984,
001,2,14, 1, 7, 8, 16, 16, 1, 0, 2, 79736, 2200, 2594,
001,2,15, 6, 7, 8, 21, 21, 1, 0, 2, 85408, 3913, 4378,
001,2,16, 6, 4, 7, 17, 17, 1, 0, 2, 91080, 2410, 3034,
001,2,17, 8, 7, 8, 23, 21, 0, 0, 2, 96685, 2187, 2652,
001,2,18, 2, 6, 6, 14, 14, 1, 0, 2, 102357, 1829, 2268,
001,2,19, 2, 2, 1, 5, 5, 1, 0, 1, 108010, 1327, 1600,
001,2,20, 1, 1, 5, 7, 7, 1, 0, 1, 113682, 1528, 1871,
001,2,21, 9, 7, 3, 19, 19, 1, 0, 2, 119304, 2114, 2562,
001,2,22, 1, 3, 5, 9, 9, 1, 0, 1, 124926, 2036, 2291,
001,2,23, 8, 6, 8, 22, 22, 1, 0, 2, 130598, 3524, 3907,
001,2,24, 1, 9, 5, 15, 15, 1, 0, 2, 136271, 2171, 2587,
001,2,25, 5, 7, 8, 20, 20, 1, 0, 2, 141894, 4444, 4804,
001,2,26, 4, 5, 1, 10, 10, 1, 0, 2, 147567, 2659, 3044,
001,2,27, 1, 3, 7, 11, 11, 1, 0, 2, 153241, 1499, 1890,
001,2,28, 8, 8, 7, 23, 0, 2, 1, 1, 158898, 5003, 5003,
001,2,29, 2, 4, 2, 8, 8, 1, 0, 1, 164577, 2211, 2539,
001,2,30, 1, 5, 2, 8, 8, 1, 0, 1, 170180, 1998, 2255,
001,2,31, 1, 2, 9, 12, 12, 1, 0, 2, 175836, 1568, 1991,
001,2,32, 8, 5, 9, 22, 22, 1, 0, 2, 181458, 4001, 4402,
001,2,33, 7, 9, 6, 22, 22, 1, 0, 2, 187131, 3216, 3593,
001,2,34, 2, 3, 7, 12, 12, 1, 0, 2, 192787, 1537, 1897,
001,2,35, 2, 7, 9, 18, 18, 1, 0, 2, 198410, 1938, 2403,
001,2,36, 8, 5, 7, 20, 20, 1, 0, 2, 204033, 3411, 3747,
